#LINK,,,,,,
#lang,ja,,,,,
#attribution_name,高松市,,,,,
#license,http://creativecommons.org/licenses/by/3.0/deed.ja,,,,,
#file_name,0018,,,,,
#download_from,https://opendata.smartcity-takamatsu.jp/ckan/dataset/middle_school,,,,,
#property,name,address,telephoneNumber,referenceObject,note,location
#object_type_xsd,string,string,string,string,string,string
#property_context,Assertion,Assertion,Assertion,Assertion,Assertion,Assertion
1,高松市立桜町中学校,高松市桜町二丁目12-4,087-861-1668,http://www.edu-tens.net/tyuHP/sakuramatiHP/,,"34.32667417,134.05185806"
2,高松市立紫雲中学校,高松市紫雲町8-25,087-861-7144,http://www.edu-tens.net/tyuHP/siunHP/,,"34.34044444,134.03383639"
3,高松市立玉藻中学校,高松市上福岡町714-1,087-861-8196,http://www.edu-tens.net/tyuHP/tamamoHP/,,"34.33413861,134.06624139"
4,高松市立高松第一中学校,高松市松島町二丁目14-5,087-832-0311,http://www.edu-tens.net/ikkanHP/takaitiHP/,,"34.33913083,134.06192944"
,,,,,,
6,高松市立屋島中学校,高松市屋島中町295,087-841-2236,http://www.edu-tens.net/tyuHP/yasimatyuHP/,,"34.34114222,134.10498778"
7,高松市立協和中学校,高松市元山町88-2,087-867-5937,http://www.edu-tens.net/tyuHP/kyouwaHP/,,"34.30760306,134.08577083"
8,高松市立龍雲中学校,高松市出作町331-2,087-889-0131,http://www.edu-tens.net/tyuHP/ryuunHP/index.htm,,"34.28222861,134.05054889"
9,高松市立勝賀中学校,高松市香西南町565,087-881-3141,http://www.edu-tens.net/tyuHP/katugaHP/,,"34.3424075,133.99990472"
10,高松市立一宮中学校,高松市一宮町1185-1,087-885-1664,http://www.edu-tens.net/tyuHP/itinomiyaHP/,,"34.2927675,134.025795"
11,高松市立香東中学校,高松市円座町771,087-886-6580,http://www.edu-tens.net/tyuHP/koutouHP/,,"34.29514972,134.00978722"
12,高松市立下笠居中学校,高松市生島町372-1,087-881-2621,http://www.edu-tens.net/tyuHP/simokasaityuHP/,,"34.35737917,133.96648611"
13,高松市立男木中学校,高松市男木町165,087-873-0506,http://www.edu-tens.net/syoHP/ogisyouHP/,,"34.42254,134.05409944"
14,高松市立山田中学校,高松市川島東町1257-1,087-848-0071,http://www.edu-tens.net/tyuHP/yamadatyuHP/,,"34.26737472,134.09241278"
15,高松市立太田中学校,高松市太田下町1800,087-866-1370,http://www.edu-tens.net/tyuHP/ootatyuHP/,,"34.30590917,134.0455175"
16,高松市立古高松中学校,高松市新田町甲190-1,087-841-1577,http://www.edu-tens.net/tyuHP/hurutakamatuHP/,,"34.33167444,134.10288222"
17,高松市立木太中学校,高松市木太町5059-3,087-866-5588,http://www.edu-tens.net/tyuHP/kitatyuHP/,,"34.31380889,134.06774694"
18,高松市立塩江中学校,高松市塩江町安原上231-1,087-893-0032,http://www.edu-tens.net/tyuHP/sionoetyuHP/,,"34.18140306,134.07389472"
19,高松市立牟礼中学校,高松市牟礼町牟礼46-2,087-845-9604,http://www.edu-tens.net/tyuHP/muretyuHP/,,"34.33994028,134.14313722"
20,高松市立庵治中学校,高松市庵治町691-1,087-871-2716,http://www.edu-tens.net/tyuHP/ajityuHP/,,"34.38388639,134.13061917"
21,高松市立香川第一中学校,高松市香川町浅野1188,087-879-2131,http://www.edu-tens.net/tyuHP/kagawaichityuHP/,,"34.25325722,134.03115889"
22,高松市立香南中学校,高松市香南町横井801,087-879-2064,http://www.edu-tens.net/tyuHP/kounantyuHP/,,"34.24286,134.00791028"
23,高松市立国分寺中学校,高松市国分寺町新居1131-1,087-874-0031,http://www.edu-tens.net/tyuHP/kokubunjityuHP/,,"34.29761583,133.96392333"
24,香川大学教育学部附属高松中学校,高松市鹿角町394,087-886-2121,,,"34.29949472,134.03200389"
25,香川県大手前高松中学校,高松市室新町1166,087-867-5970,,,"34.32636333,134.03432944"
26,香川県立高松北中学校,高松市牟礼町牟礼1583-1,087-845-2155,,,"34.34619139,134.14263333"
27,香川誠陵中学校,高松市鬼無町佐料469-1,087-881-7800,,,"34.33113361,133.986235"
28,高松市立紫雲中学校みねやま分校,高松市西宝町2-6-9,087-861-4837,,,"34.339945, 134.030323 "
