#LINK,,,,,,,,,,
#lang,ja,,,,,,,,,
#attribution_name,高松市,,,,,,,,,
#license,http://creativecommons.org/licenses/by/3.0/deed.ja,,,,,,,,,
#file_name,0022,,,,,,,,,
#download_from,https://opendata.smartcity-takamatsu.jp/ckan/dataset/regional_child_rearing_support_base,,,,,,,,,
#property,name,address,telephoneNumber,referenceObject,note,location,availableDate,startTime,endTime,availableDateNote
#object_type_xsd,string,string,string,string,string,string,string,string,string,string
#property_context,Assertion,Assertion,Assertion,Assertion,Assertion,Assertion,Assertion,Assertion,Assertion,Assertion
1,子育て“ほっと”ステーションもこもこ,高松市上之町二丁目9-23  マイシアター高松1階,087-868-2251,http://my-theater.net,,"34.32106,134.04933",火水木金土,,,利用可能時間は10:00～12:00、13:00～16:00（12:00～13:00自由開放）
2,わはは・ひろば高松,高松市大工町1-4,087-882-5582,http://npo-wahaha.net/business/hiroba.html,,"34.345,134.05104",月火水木金,10:00,15:00,月１回土曜日開設
3,わはは・ひろば香西,高松市香西西町357-3,087-802-1881,http://npo-wahaha.net/business/hiroba.html,,"34.35065,133.98877",月火水木金,10:00,15:00,月１回土曜日開設
4,子育てひろば「おるごーる」,高松市庵治町丸山156-36,087-871-3503,http://yoyokai.or.jp/publics/index/31/,,"34.35711,134.14682",月火水木金土,09:30,14:30,
5,おやこひろば　ひなたぼっこ,高松市春日町1176　NPO法人いのちの応援舎２階,087-843-8255,http://blog.livedoor.jp/bokko_hinata/,,"34.33234,134.0972",月火木金土,10:00,15:00,
6,出張ひろば「ぽかぽか」,高松市牟礼町大町1463-2 大町コミュニティセンター１F　和室（出張ひろば「ぽかぽか」）,087-843-8255,http://blog.livedoor.jp/bokko_hinata/,,"34.33615,134.1427",水,09:30,14:30,
7,ひまわりはうす　とことこ,高松市出作町382-1  酒井ハイツ108，110,087-816-7700,http://himawarinet.c.ooco.jp/,,"34.28428,134.0484",月火水木金,09:30,15:30,第３土は10:30～15:30。第３火曜日休。
8,子育てホッとステーション  ゆうゆう広場,高松市屋島西町2479-12,087-841-8270,http://yuuyuu.ciao.jp/,,"34.35365,134.09033",月火水木金,,,利用可能時間は09:30～12:00、13:00～15:30
9,ハイジの森,高松市多肥上町1622-12,090-3786-7439,http://heidinomori.ashita-sanuki.jp/,,"34.29002,134.05864",月火水木金,10:00,15:30,
10,ハイジどろっぷ,高松市十川東町55-1 フジグラン十川店衣料品売場奥　ちびっこひろば内（ハイジどろっぷ）,090-3786-7439,http://heidinomori.ashita-sanuki.jp/,,"34.27131,134.10782",火,09:30,14:30,
11,あそviva・ぶんぶん,高松市国分寺町新居1187-1,090-6880-1988,http://ayumitakuji1988.ashita-sanuki.jp,,"34.29531,133.96534",火水木金土,10:00,15:00,
12,にしおか医院  地域子育て支援センター,高松市寺井町1385-10  西岡医院内,087-885-8740,http://www.jinsenkai.jp/child/,,"34.28202,134.02349",月火水木金,09:00,14:00,第３土は利用可。第３木曜日休。
13,子育て支援センター  「さわやかキッズセンター」,高松市香川町浅野1256-1  香川地域保健活動センター内,090-6207-9048,http://www.city.takamatsu.kagawa.jp/kurashi/kosodate/shienjigyo/shienjigyo/sawayaka_kids.html,,"34.25073,134.03432",月火水木金,,,利用可能時間は09:30～12:00、13:00～15:30
14,はらこども園子育て支援センター　「にこにこキッズセンター」,高松市牟礼町原570-1　はらこども園内,080-5781-8869,http://www.city.takamatsu.kagawa.jp/kurashi/kosodate/shienjigyo/shienjigyo/nikoniko_kids.html,,"34.32854,134.1558",月火水木金,,,利用可能時間は09:00～12:00、15:00～17:00
