#LINK,,,,,,,,,,
#lang,ja,,,,,,,,,
#attribution_name,高松市,,,,,,,,,
#license,http://creativecommons.org/licenses/by/3.0/deed.ja,,,,,,,,,
#file_name,0030,,,,,,,,,
#download_from,https://opendata.smartcity-takamatsu.jp/ckan/dataset/branch_office,,,,,,,,,
#property,name,address,telephoneNumber,referenceObject,note,location,availableDate,startTime,endTime,availableDateNote
#object_type_xsd,string,string,string,string,string,string,string,string,string,string
#property_context,Assertion,Assertion,Assertion,Assertion,Assertion,Assertion,Assertion,Assertion,Assertion,Assertion
1,鶴尾出張所,高松市田村町303-1,087-866-1793,http://www.city.takamatsu.kagawa.jp/kurashi/kurashi/shisetsu/shisho/sougou_center.html,,"34.31382333,134.03022889",月火水木金,08:30,17:00,国民の祝日に関する法律に規定する休日及び年末年始（１２月２９日から翌年の１月３日まで）は利用不可。
2,太田出張所,高松市伏石町2071-16,087-866-1796,http://www.city.takamatsu.kagawa.jp/kurashi/kurashi/shisetsu/shisho/sougou_center.html,,"34.30998,134.05251889",月火水木金,08:30,17:00,国民の祝日に関する法律に規定する休日及び年末年始（１２月２９日から翌年の１月３日まで）は利用不可。
3,木太出張所,高松市木太町3480-2,087-834-5485,http://www.city.takamatsu.kagawa.jp/kurashi/kurashi/shisetsu/shisho/sougou_center.html,,"34.32624528,134.07670778",月火水木金,08:30,17:00,国民の祝日に関する法律に規定する休日及び年末年始（１２月２９日から翌年の１月３日まで）は利用不可。
4,古高松出張所,高松市高松町10-20,087-841-6261,http://www.city.takamatsu.kagawa.jp/kurashi/kurashi/shisetsu/shisho/sougou_center.html,,"34.33566417,134.10751306",月火水木金,08:30,17:00,国民の祝日に関する法律に規定する休日及び年末年始（１２月２９日から翌年の１月３日まで）は利用不可。
5,屋島出張所,高松市屋島中町449-1,087-841-6258,http://www.city.takamatsu.kagawa.jp/kurashi/kurashi/shisetsu/shisho/sougou_center.html,,"34.34371056,134.10129944",月火水木金,08:30,17:00,国民の祝日に関する法律に規定する休日及び年末年始（１２月２９日から翌年の１月３日まで）は利用不可。
6,前田出張所,高松市前田東町838,087-847-5897,http://www.city.takamatsu.kagawa.jp/kurashi/kurashi/shisetsu/shisho/sougou_center.html,,"34.29657167,134.11258333",月火水木金,08:30,17:00,国民の祝日に関する法律に規定する休日及び年末年始（１２月２９日から翌年の１月３日まで）は利用不可。
7,川添出張所,高松市元山町136-4,087-847-5893,http://www.city.takamatsu.kagawa.jp/kurashi/kurashi/shisetsu/shisho/sougou_center.html,,"34.30697278,134.08946833",月火水木金,08:30,17:00,国民の祝日に関する法律に規定する休日及び年末年始（１２月２９日から翌年の１月３日まで）は利用不可。
8,林出張所,高松市林町1405-6,087-866-2095,http://www.city.takamatsu.kagawa.jp/kurashi/kurashi/shisetsu/shisho/sougou_center.html,,"34.30154806,134.07483389",月火水木金,08:30,17:00,国民の祝日に関する法律に規定する休日及び年末年始（１２月２９日から翌年の１月３日まで）は利用不可。
9,三谷出張所,高松市三谷町1201-1,087-889-4914,http://www.city.takamatsu.kagawa.jp/kurashi/kurashi/shisetsu/shisho/sougou_center.html,,"34.27771639,134.06947833",月火水木金,08:30,17:00,国民の祝日に関する法律に規定する休日及び年末年始（１２月２９日から翌年の１月３日まで）は利用不可。
10,一宮出張所,高松市一宮町838-1,087-886-0811,http://www.city.takamatsu.kagawa.jp/kurashi/kurashi/shisetsu/shisho/sougou_center.html,,"34.29067333,134.02893556",月火水木金,08:30,17:00,国民の祝日に関する法律に規定する休日及び年末年始（１２月２９日から翌年の１月３日まで）は利用不可。
11,多肥出張所,高松市多肥上町433-5,087-889-4913,http://www.city.takamatsu.kagawa.jp/kurashi/kurashi/shisetsu/shisho/sougou_center.html,,"34.29044611,134.05146667",月火水木金,08:30,17:00,国民の祝日に関する法律に規定する休日及び年末年始（１２月２９日から翌年の１月３日まで）は利用不可。
12,川岡出張所,高松市川部町486-3,087-886-0814,http://www.city.takamatsu.kagawa.jp/kurashi/kurashi/shisetsu/shisho/sougou_center.html,,"34.26941694,134.00998778",月火水木金,08:30,17:00,国民の祝日に関する法律に規定する休日及び年末年始（１２月２９日から翌年の１月３日まで）は利用不可。
13,円座出張所,高松市円座町1622-1,087-885-2411,http://www.city.takamatsu.kagawa.jp/kurashi/kurashi/shisetsu/shisho/sougou_center.html,,"34.28543722,134.00547111",月火水木金,08:30,17:00,国民の祝日に関する法律に規定する休日及び年末年始（１２月２９日から翌年の１月３日まで）は利用不可。
14,檀紙出張所,高松市御厩町775-1,087-886-0815,http://www.city.takamatsu.kagawa.jp/kurashi/kurashi/shisetsu/shisho/sougou_center.html,,"34.30092139,133.99466861",月火水木金,08:30,17:00,国民の祝日に関する法律に規定する休日及び年末年始（１２月２９日から翌年の１月３日まで）は利用不可。
15,弦打出張所,高松市鶴市町356-3,087-882-0891,http://www.city.takamatsu.kagawa.jp/kurashi/kurashi/shisetsu/shisho/sougou_center.html,,"34.329246,134.005738",月火水木金,08:30,17:00,国民の祝日に関する法律に規定する休日及び年末年始（１２月２９日から翌年の１月３日まで）は利用不可。
16,鬼無出張所,高松市鬼無町佐藤31-3,087-882-0809,http://www.city.takamatsu.kagawa.jp/kurashi/kurashi/shisetsu/shisho/sougou_center.html,,"34.327365,133.993302",月火水木金,08:30,17:00,国民の祝日に関する法律に規定する休日及び年末年始（１２月２９日から翌年の１月３日まで）は利用不可。
17,下笠居出張所,高松市生島町353-1,087-882-0868,http://www.city.takamatsu.kagawa.jp/kurashi/kurashi/shisetsu/shisho/sougou_center.html,,"34.359028,133.968806",月火水木金,08:30,17:00,国民の祝日に関する法律に規定する休日及び年末年始（１２月２９日から翌年の１月３日まで）は利用不可。
18,男木出張所,高松市男木町134,087-873-0001,http://www.city.takamatsu.kagawa.jp/kurashi/kurashi/shisetsu/shisho/sougou_center.html,,"34.42212,134.05479",月火水木金,08:30,17:00,国民の祝日に関する法律に規定する休日及び年末年始（１２月２９日から翌年の１月３日まで）は利用不可。
19,女木出張所,高松市女木町203-1,087-873-0101,http://www.city.takamatsu.kagawa.jp/kurashi/kurashi/shisetsu/shisho/sougou_center.html,,"34.39210389,134.0517525",月火水木金,08:30,17:00,国民の祝日に関する法律に規定する休日及び年末年始（１２月２９日から翌年の１月３日まで）は利用不可。
