#LINK,,,,,,,,,,
#lang,ja,,,,,,,,,
#attribution_name,高松市,,,,,,,,,
#license,http://creativecommons.org/licenses/by/3.0/deed.ja,,,,,,,,,
#file_name,0039,,,,,,,,,
#download_from,https://opendata.smartcity-takamatsu.jp/ckan/dataset/tennis_court,,,,,,,,,
#property,name,address,telephoneNumber,referenceObject,note,location,availableDate,startTime,endTime,availableDateNote
#object_type_xsd,string,string,string,string,string,string,string,string,string,string
#property_context,Assertion,Assertion,Assertion,Assertion,Assertion,Assertion,Assertion,Assertion,Assertion,Assertion
1,高松市立朝日町庭球場,高松市朝日町一丁目1-13,087-822-0211,http://www.taka-spo.or.jp/asa1.html,,"34.34760361,134.06198611",月火水木金土日,09:00,21:00,
2,高松市立亀岡庭球場,高松市亀岡町7-2,087-822-0211,http://www.taka-spo.or.jp/kam1.html,,"34.33731944,134.04071694",月火水木金土日,09:00,17:00,6～8月は19:00まで
3,高松市立仏生山運動場,高松市仏生山町甲2565,087-888-5011,http://www.taka-spo.or.jp/buu1.htm,,"34.27451389,134.05035611",月火水木金土日,09:00,17:00,6～8月は19:00まで
4,高松市亀水運動センター,高松市亀水町458-1,087-881-0182,http://www.taka-spo.or.jp/tar3.html,,"34.37393833,133.94335944",月水木金土日,09:00,17:00,6～8月は19:00まで
5,高松市かわなべスポーツセンター,高松市川部町932-7,087-885-4611,http://www.taka-spo.or.jp/ssp3.html,,"34.25984417,134.01649667",月水木金土日,09:00,21:00,
6,高松市塩江町庭球場,高松市塩江町安原上708-2,087-879-8000,http://www.taka-spo.or.jp/sio1.html,,"34.18012444,134.07701417",火水木金土日,09:00,21:00,
7,高松市庵治町深間庭球場,高松市庵治町6391-17,087-845-7060,http://www.taka-spo.or.jp/fuk1.html,,"34.36824806,134.12069639",月火水木金土日,09:00,21:00,
9,高松市香南庭球場,高松市香南町横井1000,087-879-3136,http://www.taka-spo.or.jp/kou1.html,,"34.24100444,134.00776194",月火水木金土日,09:00,21:00,
10,高松市牟礼御山公園庭球場,高松市牟礼町牟礼1355-1,087-845-7060,http://www.taka-spo.or.jp/miy1.html,,"34.34756194,134.13321889",月火水木金土日,09:00,21:00,
11,高松市牟礼中央公園運動センター,高松市牟礼町原1019-8,087-845-1563,http://www.taka-spo.or.jp/muc3.html,,"34.33183472,134.14821556",月水木金土日,09:00,21:00,
12,高松市国分寺橘ノ丘総合運動公園,高松市国分寺町新名2069-1,087-874-4311,http://www.taka-spo.or.jp/bg9.html,,"34.27244917,133.95095361",火水木金土日,09:00,21:00,
