#LINK,,,,,,,,,,,,
#lang,ja,,,,,,,,,,,
#attribution_name,高松市,,,,,,,,,,,
#license,http://creativecommons.org/licenses/by/3.0/deed.ja,,,,,,,,,,,
#file_name,0048,,,,,,,,,,,
#download_from,https://opendata.smartcity-takamatsu.jp/ckan/dataset/elderly_wedding_house,,,,,,,,,,,
#property,name,address,telephoneNumber,referenceObject,note,location,service,availableDate,startTime,endTime,availableDateNote,capacity
#object_type_xsd,string,string,string,string,string,string,string,string,string,string,string,string
#property_context,Assertion,Assertion,Assertion,Assertion,Assertion,Assertion,Assertion,Assertion,Assertion,Assertion,Assertion,Assertion
1,老人いこいの家白梅荘,高松市扇町一丁目2-31,,,,"34.34775861,134.03693833",,月火水木金土日,09:00,18:00,時間外利用可能,
2,老人いこいの家亀阜荘,高松市亀岡町7-7,,,,"34.33678278,134.04053944",,月火水木金土日,09:00,18:00,時間外利用可能,
3,老人いこいの家楠上荘,高松市楠上町二丁目5-11,,,,"34.32848333,134.05657333",,月火水木金土日,09:00,18:00,時間外利用可能,
4,老人いこいの家二番丁荘,高松市番町二丁目13-1,,,,"34.34524444,134.04068056",,月火水木金土日,09:00,18:00,時間外利用可能,
5,老人いこいの家花畑荘,高松市多賀町一丁目1-25,,,,"34.33663667,134.05711083",,月火水木金土日,09:00,18:00,時間外利用可能,
6,老人いこいの家西二番丁荘,高松市扇町三丁目6-15,,,,"34.34635194,134.03124444",,月火水木金,09:00,18:00,,
7,老人いこいの家新北荘,高松市新北町6-15,,,,"34.35181611,134.02563667",,月火水木金土日,09:00,18:00,時間外利用可能,
8,老人いこいの家栗林藤塚荘,高松市藤塚町二丁目12-23,,,,"34.33248028,134.04976944",,月火水木金土日,09:00,18:00,時間外利用可能,
9,,,,,,",",,,,,,
10,老人いこいの家牟礼いこいの家,高松市牟礼町牟礼1978-1,,,,"34.34630528,134.12677778",,月火水木金土日,09:00,18:00,時間外利用可能,
11,老人いこいの家牟礼いこいの広場,高松市牟礼町牟礼568,,,,"34.33712806,134.13068722",,,,,,
