#LINK,,,,,,,,,,,,
#lang,ja,,,,,,,,,,,
#attribution_name,高松市,,,,,,,,,,,
#license,http://creativecommons.org/licenses/by/3.0/deed.ja,,,,,,,,,,,
#file_name,0050,,,,,,,,,,,
#download_from,https://opendata.smartcity-takamatsu.jp/ckan/dataset/group_home,,,,,,,,,,,
#property,name,address,telephoneNumber,referenceObject,note,location,service,availableDate,startTime,endTime,availableDateNote,capacity
#object_type_xsd,string,string,string,string,string,string,string,string,string,string,string,string
#property_context,Assertion,Assertion,Assertion,Assertion,Assertion,Assertion,Assertion,Assertion,Assertion,Assertion,Assertion,Assertion
1,グループホームやすらぎ,高松市天神前5-22 ,087-837-1515,,,"34.33975139,134.04465472",認知症対応型共同生活介護,月火水木金土日,,,24時間対応,27
3,グループホーム　ひがん,高松市藤塚町一丁目11-5,087-831-9667,http://nursing-home.dr-navip.jp/kagawa/facility/1111/,,"34.33364639,134.04691583",認知症対応型共同生活介護,月火水木金土日,,,24時間対応,27
4,グループホーム愛の里,高松市上福岡町2005-11,087-837-2188,http://www.home-ainosato.com/,,"34.330325,134.06113139",認知症対応型共同生活介護,月火水木金土日,,,24時間対応,18
5,グループホーム　オアシス香西,高松市檀紙町1452-1,087-815-6511,http://oasis-kozai.com/,,"34.30722639,133.99956528",認知症対応型共同生活介護,月火水木金土日,,,24時間対応,18
6,グループホーム春風荘　,高松市円座町1300-2,087-815-7200,http://www.happylifeai.co.jp/,,"34.28434611,134.01455361",認知症対応型共同生活介護,月火水木金土日,,,24時間対応,18
7,グループホームあい,高松市川部町1300-1,087-886-5558,,,"34.26092639,134.01459611",認知症対応型共同生活介護,月火水木金土日,,,24時間対応,18
8,西春日グループホーム,高松市西春日町1511-1,087-869-1165,,,"34.31523417,134.02003833",認知症対応型共同生活介護,月火水木金土日,,,24時間対応,9
9,グループホーム　ほおずき,高松市松並町649-1,087-815-3810,,,"34.31362611,134.02590722",認知症対応型共同生活介護,月火水木金土日,,,24時間対応,9
10,グループホーム　暖暖,高松市室新町1-8,087-815-1231,,,"34.322645,134.04190278",認知症対応型共同生活介護,月火水木金土日,,,24時間対応,27
11,グループホームすずらん,高松市伏石町2008-5,087-868-8828,http://maedaseikei.net/publics/index/235/,,"34.32076472,134.05430722",認知症対応型共同生活介護,月火水木金土日,,,24時間対応,18
12,グループホーム　こすもす,高松市太田下町1868-2,087-864-5552,,,"34.30706611,134.04354472",認知症対応型共同生活介護,月火水木金土日,,,24時間対応,27
13,グループホーム　花もめん,高松市太田下町2020-1,087-815-1800,http://www.sumire-fukushi.jp/,,"34.30438028,134.03901194",認知症対応型共同生活介護,月火水木金土日,,,24時間対応,18
14,愛の家グループホーム高松成合,高松市成合町581,087-815-6580,,,"34.30271583,134.01248361",認知症対応型共同生活介護,月火水木金土日,,,24時間対応,18
15,らく楽一宮,高松市一宮町1568-1,087-815-6001,http://www.rakuraku-group.jp/,,"34.29199222,134.02054167",認知症対応型共同生活介護,月火水木金土日,,,24時間対応,27
16,グループホーム  木太,高松市木太町3749-3,087-863-5112,,,"34.32359278,134.078855",認知症対応型共同生活介護,月火水木金土日,,,24時間対応,18
17,グループホームアダージォ泉　,高松市春日町1336-1,087-841-8828,http://www.izumi-clinic.or.jp/adagio/index.html,,"34.33139778,134.09350611",認知症対応型共同生活介護,月火水木金土日,,,24時間対応,18
18,グループホーム  春日,高松市春日町671-1,087-841-8825,,,"34.32543444,134.08769306",認知症対応型共同生活介護,月火水木金土日,,,24時間対応,27
19,グループホーム真珠の湯　,高松市新田町甲2712-1,087-818-1060,,,"34.32825389,134.09985583",認知症対応型共同生活介護,月火水木金土日,,,24時間対応,18
20,グループホーム　ミモザ,高松市新田町甲2181-1,087-844-8775,http://careservice-hasegawa.jp/,,"34.31631917,134.10206972",認知症対応型共同生活介護,月火水木金土日,,,24時間対応,18
21,グループホーム　エーデルワイス,高松市高松町2160-1,087-841-2222,,,"34.34113889,134.11879528",認知症対応型共同生活介護,月火水木金土日,,,24時間対応,18
22,ニチイケアセンター古高松,高松市高松町1718-2,087-844-8521,,,"34.33625889,134.11294889",認知症対応型共同生活介護,月火水木金土日,,,24時間対応,18
23,認知症高齢者グループホーム第三若葉荘,高松市上林町822-1,087-815-5010,https://seimeikai.jp/wakaba/,,"34.28601333,134.05931889",認知症対応型共同生活介護,月火水木金土日,,,24時間対応,18
24,グループホーム邑,高松市前田西町1080-18,087-847-1150,http://www.syurikai.com/,,"34.2964575,134.09948167",認知症対応型共同生活介護,月火水木金土日,,,24時間対応,18
25,グループホーム　実の里,高松市十川東町938-1,087-848-5155,,,"34.25982833,134.10604083",認知症対応型共同生活介護,月火水木金土日,,,24時間対応,18
26,グループホーム　うちんく,高松市川島本町276-1,087-848-9273,,,"34.27957861,134.08590861",認知症対応型共同生活介護,月火水木金土日,,,24時間対応,18
27,認知症高齢者グループホーム第五若葉荘,高松市三谷町1643-1,087-888-0202,https://seimeikai.jp/wakaba/,,"34.28301083,134.06016611",認知症対応型共同生活介護,月火水木金土日,,,24時間対応,27
