#LINK,,,,,,,,,,,,
#lang,ja,,,,,,,,,,,
#attribution_name,高松市,,,,,,,,,,,
#license,http://creativecommons.org/licenses/by/3.0/deed.ja,,,,,,,,,,,
#file_name,0051,,,,,,,,,,,
#download_from,https://opendata.smartcity-takamatsu.jp/ckan/dataset/nursing_home,,,,,,,,,,,
#property,name,address,telephoneNumber,referenceObject,note,location,service,availableDate,startTime,endTime,availableDateNote,capacity
#object_type_xsd,string,string,string,string,string,string,string,string,string,string,string,string
#property_context,Assertion,Assertion,Assertion,Assertion,Assertion,Assertion,Assertion,Assertion,Assertion,Assertion,Assertion,Assertion
1,ケアサポート長谷川（中央西）,高松市宮脇町二丁目26-12,087-836-9123,,,"34.33546278,134.0347836",小規模多機能型居宅介護,月火水木金土日,,,24時間対応,29
2,ケアサポート長谷川（中央東）,高松市福岡町二丁目16-6　福岡事業所１階,087-823-0559,,,"34.34519278,134.0663553",小規模多機能型居宅介護,月火水木金土日,,,24時間対応,29
3,えんざ,高松市西山崎町196-2,087-885-1165,http://www.koutouen.com/,,"34.28475389,134.0029683",小規模多機能型居宅介護,月火水木金土日,,,24時間対応,25
4,サマリヤ勅使小規模多機能型居宅介護事業所,高松市勅使町字大隈1378-1、1379番地,087-867-2531,,,"34.30831278,134.0226719",小規模多機能型居宅介護,月火水木金土日,,,24時間対応,25
5,小規模多機能ホームたんぽぽの家,高松市木太町1539-8,087-813-1111,,,"34.3215625,134.0749803",小規模多機能型居宅介護,月火水木金土日,,,24時間対応,29
6,ケアサポート長谷川（古高松）,高松市新田町甲2181-1,087-818-1357,,,"34.31648028,134.1022917",小規模多機能型居宅介護,月火水木金土日,,,24時間対応,29
7,小規模多機能施設　富士,高松市屋島西町2277-4,087-844-8864,,,"34.35848056,134.0891589",小規模多機能型居宅介護,月火水木金土日,,,24時間対応,25
8,多機能型施設  邑,高松市前田西町1080-18,087-847-1150,http://www.syurikai.com/,,"34.2964575,134.0994817",小規模多機能型居宅介護,月火水木金土日,,,24時間対応,29
9,香川県高齢者生活協同組合「ひだまり川島」,高松市川島東町925-1,087-848-2877,,,"34.27412639,134.0882281",小規模多機能型居宅介護,月火水木金土日,,,24時間対応,25
10,やまぶき小規模多機能型居宅介護事業所,高松市三谷町316,087-888-5500,https://www.sumire-fukushi.jp/,,"34.27728694,134.0755206",小規模多機能型居宅介護,月火水木金土日,,,24時間対応,24
11,在宅サポートセンター　ハピネス,高松市中山町772-1,087-816-6900,http://www.shinboukai.net/,,"34.35680056,133.9730411",小規模多機能型居宅介護,月火水木金土日,,,24時間対応,25
12,小規模多機能型施設  侶,高松市牟礼町原216-5,087-870-1137,http://www.syurikai.com/,,"34.32090611,134.1599506",小規模多機能型居宅介護,月火水木金土日,,,24時間対応,29
13,小規模多機能型居宅介護事業所　らく楽国分寺,高松市国分寺町柏原1059-2,087-870-6001,http://www.rakuraku-group.jp/,,"34.29311833,133.9482814",小規模多機能型居宅介護,月火水木金土日,,,24時間対応,25
14,多機能ホーム　ひまわり,高松市香川町大野901-1,087-885-6661,,,"34.264656,134.02725",小規模多機能型居宅介護,月火水木金土日,,,24時間対応,25
