#LINK,,,,,,,,,,,,,,,,,
#lang,ja,,,,,,,,,,,,,,,,
#attribution_name,高松市,,,,,,,,,,,,,,,,
#license,http://creativecommons.org/licenses/by/3.0/deed.ja,,,,,,,,,,,,,,,,
#file_name,0064,,,,,,,,,,,,,,,,
#download_from,https://opendata.smartcity-takamatsu.jp/ckan/dataset/public_wireless_lan,,,,,,,,,,,,,,,,
#property,prefCode,identification,pref,city,name,fullNameInKana,fullNameInRomaji,address,katagaki,location,installer,telephoneNumber,extensionNumber,ssid,area,referenceObject,note
#object_type_xsd,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string
#property_context,Assertion,Assertion,Assertion,Assertion,Assertion,Assertion,Assertion,Assertion,Assertion,Assertion,Assertion,Assertion,Assertion,Assertion,Assertion,Assertion,Assertion
1,37201,,香川県,高松市,サンポート高松,,,香川県高松市サンポート2番1号,,"34.352575,134.0470042",,,,KAGAWA-WiFi_Takamatsu,高松シンボルタワー（市民ギャラリー、コミュニケーションプラザ、オープンホワイエ、オリーブタワー、展示場（ホール棟1階）、デックスガレリア）、高松シンボルタワー西側歩行者専用道路、高松駅、高松駅前広場、高松駅前バスターミナル、大型テナント広場、多目的広場,,1回あたりの接続時間：30分（回数制限なし。ただし30分毎に再度認証が必要）
2,37201,,香川県,高松市,高松中央商店街,,,香川県高松市丸亀町1,,"34.346049,134.050517",,,,KAGAWA-WiFi_Takamatsu,高松中央商店街の街路（アーケード下）,,1回あたりの接続時間：30分（回数制限なし。ただし30分毎に再度認証が必要）
3,37201,,香川県,高松市,高松空港,,,香川県高松市香南町岡1312番地7,,"34.219228,134.019297",,,,KAGAWA-WiFi_Takamatsu,高松空港,,1回あたりの接続時間：30分（回数制限なし。ただし30分毎に再度認証が必要）
4,37201,,香川県,高松市,高松琴平電気鉄道瓦町駅,,,香川県高松市常磐町一丁目3-1,,"34.33906556,134.05269",,,,KAGAWA-WiFi_Takamatsu,高松琴平電気鉄道瓦町駅、瓦町駅前バスターミナル,,1回あたりの接続時間：30分（回数制限なし。ただし30分毎に再度認証が必要）
5,37201,,香川県,高松市,高松市役所,,,香川県高松市番町一丁目8-15,,"34.34276778,134.0465461",,,,KAGAWA-WiFi_Takamatsu,高松市役所1階市民ホール,,1回あたりの接続時間：30分（回数制限なし。ただし30分毎に再度認証が必要）
6,37201,,香川県,高松市,玉藻公園披雲閣,,,香川県高松市玉藻町２番１号,,"34.34911337642227, 134.05062987786422",,,,KAGAWA-WiFi,,,
7,37201,,香川県,高松市,男木交流館,,,香川県高松市男木町１９８６番地,,"34.42222463856056, 134.05413144104674",,,,KAGAWA-WiFi,,,
8,37201,,香川県,高松市,鬼ヶ島おにの館,,,香川県高松市女木町１５番地２２,,"34.38949764744894, 134.05238501219824",,,,KAGAWA-WiFi,,,
9,37201,,香川県,高松市,塩江インフォメーションセンター,,,香川県高松市塩江町安原上東３９０－９,,"34.17037598630636, 134.08232722876988",,,,KAGAWA-WiFi,,,
10,37201,,香川県,高松市,眉山亭,,,香川県高松市庵治町６０３４,,"34.40944181761771, 134.10690956498806",,,,KAGAWA-WiFi,,,
