#LINK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#lang,ja,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#attribution_name,高松市,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#license,http://creativecommons.org/licenses/by/3.0/deed.ja,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#file_name,0065,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#download_from,https://opendata.smartcity-takamatsu.jp/ckan/dataset/public_toilet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#property,prefCode,identification,pref,city,name,fullNameInKana,fullNameInRomaji,address,katagaki,installationPosition,location,totalMensRestroom,smallMensRestroom,japaneseMensRestroom,westernMensRestroom,totalWomanRestroom,japaneseWomanRestroom,westernWomanRestroom,sharedRestroom,japaneseSharedRestroom,westernSharedRestroom,multifunctionalRestroom,wheelchairRestroom,anInfantRestroom,ostomateRestroom,startTime,endTime,availableDateNote,image,iamgeLicense,note
#object_type_xsd,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string
#property_context,Assertion,Assertion,Assertion,Assertion,Assertion,Assertion,Assertion,Assertion,Assertion,Assertion,Assertion,Assertion,Assertion,Assertion,Assertion,Assertion,Assertion,Assertion,Assertion,Assertion,Assertion,Assertion,Assertion,Assertion,Assertion,Assertion,Assertion,Assertion,Assertion,Assertion,Assertion
1,37201,1,香川県,高松市,高松市片原町公衆便所,タカマツシカタハラマチコウシュウベンジョ,,香川県高松市片原町9番地9,,片原町商店街南はいる,"34.34551,134.05267",1,1,,,,,,2,2,,,無,無,無,00:00,24:00,なし,,,
2,37201,2,香川県,高松市,Hitz瀬戸の都トイレ（高松市高松駅前広場公衆便所）,ヒッツセトノミヤコトイレ　タカマツシタカマツエキマエヒロバコウシュウベンジョ,Hitz Public Toilet   Marine Capital of the Seto Inland Sea,香川県高松市浜ノ町1番19号,,高松駅送迎用ロータリー北,"34.35059,134.04749",7,4,1,2,5,2,3,,,,,有,有,無,00:00,24:00,なし,,,
3,37201,3,香川県,高松市,高松市天神前公衆便所,タカマツシテンジンマエコウシュウベンジョ,,香川県高松市番町五丁目1番16号,,中野天満宮となり,"34.33815,134.04377",3,2,1,,2,2,,1,,1,,有,無,無,00:00,24:00,なし,,,
4,37201,4,香川県,高松市,高松市栗林公園前公衆便所,タカマツシリツリンコウエンマエコウシュウベンジョ,,香川県高松市栗林町一丁目6番25号,,栗林公園前バス停前,"34.33072,134.04679",6,4,2,,6,4,2,1,,1,,有,無,無,00:00,24:00,なし,,,
5,37201,5,香川県,高松市,高松市北浜町公衆便所,タカマツシキタハマチョウコウシュウベンジョ,,香川県高松市北浜町12番14号,,恵美須神社内,"34.34955,134.05618",2,2,,,,,,1,,1,,無,無,無,00:00,24:00,なし,,,
6,37201,6,香川県,高松市,高松市福岡町東部公衆便所,タカマツシフクオカチョウトウブコウシュウベンジョ,,香川県高松市福岡町三丁目34番8号,,福岡ポンプ場北東　,"34.34398,134.07510",2,2,,,,,,1,1,,,無,無,無,00:00,24:00,なし,,,
7,37201,7,香川県,高松市,高松市石清尾八幡神社内公衆便所,タカマツシイワセオハチマンジンジャナイコウシュウベンジョ,,香川県高松市宮脇町一丁目30番3号,,石清尾八幡神社内,"34.33736,134.03559",4,3,1,,2,2,,1,,1,,有,無,無,00:00,24:00,なし,,,
8,37201,8,香川県,高松市,高松市姥ヶ池公衆便所,タカマツシバアガイケコウシュウベンジョ,,香川県高松市宮脇町二丁目12番1号,,姥ヶ池墓地となり,"34.33225,134.03559",3,2,1,,2,2,,1,,1,,有,無,無,00:00,24:00,なし,,,
9,37201,9,香川県,高松市,高松市朝日町公衆便所,タカマツシアサヒマチコウシュウベンジョ,,香川県高松市朝日町一丁目1番5号,,県立中央病院南,"34.34802,134.06106",3,2,1,,2,2,,1,,1,,有,無,無,00:00,24:00,なし,,,
10,37201,10,香川県,高松市,高松市屋島山上公衆便所,タカマツシヤシマサンジョウコウシュウベンジョ,,香川県高松市屋島東町1780番地,,屋島ケーブル山上駅跡となり,"34.35208,134.10735",4,3,1,,2,2,,1,,1,,有,有,無,00:00,24:00,なし,,,
11,37201,11,香川県,高松市,高松市香西芝山第一公衆便所,タカマツシコウザイシバヤマダイイチコウシュウベンジョ,,香川県高松市香西北町275番地3,,芝山自治会館となり,"34.35540,133.99462",4,3,1,,1,1,,,,,,無,無,無,00:00,24:00,なし,,,
12,37201,12,香川県,高松市,高松市香西芝山第二公衆便所,タカマツシコウザイシバヤマダイニコウシュウベンジョ,,香川県高松市香西北町273番地1,,芝山墓地となり,"34.35440,133.99662",2,1,1,,1,1,,,,,,無,無,無,00:00,24:00,なし,,,
13,37201,13,香川県,高松市,高松市一宮町公衆便所,タカマツシイチノミヤチョウコウシュウベンジョ,,香川県高松市一宮町286番地1,,田村神社駐車場内,"34.28738,134.02778",3,2,1,,2,2,,1,,1,,有,無,無,00:00,24:00,なし,,,
14,37201,14,香川県,高松市,高松市成合町公衆便所,タカマツシナリアイチョウコウシュウベンジョ,,香川県高松市成合町1335番地1,,成合天満宮前,"34.29913,134.01864",2,1,1,,1,1,,1,,1,,有,無,無,00:00,24:00,なし,,,
