#LINK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#lang,ja,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#attribution_name,高松市,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#license,http://creativecommons.org/licenses/by/3.0/deed.ja,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#file_name,0066_201812,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#download_from,https://opendata.smartcity-takamatsu.jp/ckan/dataset/population201812,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#property,prefCode,regionCode,prefName,cityName,surveyDate,regionName,totalPopulation,male,woman,man1,woman1,man2,woman2,man3,woman3,man4,woman4,man5,woman5,man6,woman6,man7,woman7,man8,woman8,man9,woman9,man10,woman10,man11,woman11,man12,woman12,man13,woman13,man14,woman14,man15,woman15,man16,woman16,man17,woman17,man18,woman18,numberOfHouseholds,note,location
#object_type_xsd,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string
#property_context,Assertion,Assertion,Assertion,Assertion,Assertion,Assertion,Assertion,Assertion,Assertion,Assertion,Assertion,Assertion,Assertion,Assertion,Assertion,Assertion,Assertion,Assertion,Assertion,Assertion,Assertion,Assertion,Assertion,Assertion,Assertion,Assertion,Assertion,Assertion,Assertion,Assertion,Assertion,Assertion,Assertion,Assertion,Assertion,Assertion,Assertion,Assertion,Assertion,Assertion,Assertion,Assertion,Assertion,Assertion,Assertion,Assertion,Assertion,Assertion
1,37201,,香川県,高松市,12/1/2018,塩屋町,226,99,127,2,4,2,2,3,4,6,2,2,6,4,6,5,4,8,4,6,11,12,15,8,7,8,9,8,10,7,14,11,7,1,6,2,7,4,9,131,,"34.342286,134.055021"
2,37201,,香川県,高松市,12/1/2018,築地町,708,333,375,5,8,7,11,10,9,14,11,18,20,19,18,23,19,24,22,24,23,23,26,23,25,23,24,27,28,22,28,36,28,13,28,16,19,6,28,418,,"34.341274,134.056839"
3,37201,,香川県,高松市,12/1/2018,塩上町,112,52,60,2,0,2,1,0,0,2,2,6,3,5,1,1,4,1,5,2,5,5,1,2,4,4,4,3,2,4,2,4,7,2,9,4,5,3,5,77,,"34.335876,134.052375"
4,37201,,香川県,高松市,12/1/2018,塩上町１丁目,219,111,108,1,1,2,2,3,0,4,1,4,6,7,9,6,4,8,1,4,6,15,7,8,7,5,4,3,9,7,7,14,16,9,8,6,9,5,11,144,,"34.338200,134.053646"
5,37201,,香川県,高松市,12/1/2018,塩上町２丁目,736,342,394,2,11,7,3,12,10,8,13,28,22,27,23,15,15,25,25,26,34,28,33,28,19,23,24,22,22,26,29,25,23,16,31,7,21,17,36,470,,"34.338544,134.055472"
6,37201,,香川県,高松市,12/1/2018,塩上町３丁目,639,317,322,15,11,14,9,12,9,13,13,15,14,14,12,23,18,16,20,32,28,19,15,21,21,19,11,17,23,31,29,25,31,9,19,12,24,10,15,359,,"34.339112,134.057533"
7,37201,,香川県,高松市,12/1/2018,八坂町,83,34,49,2,2,1,0,0,2,0,0,1,2,2,3,0,0,4,2,4,4,1,1,2,3,1,1,0,2,3,6,2,5,4,6,4,3,3,7,48,,"34.339782,134.053748"
8,37201,,香川県,高松市,12/1/2018,福田町,271,122,149,4,4,10,4,9,7,6,3,7,3,1,6,4,7,5,9,11,15,7,6,7,8,7,12,11,7,9,17,9,10,9,7,3,10,3,14,145,,"34.341477,134.053890"
9,37201,,香川県,高松市,12/1/2018,常磐町１丁目,136,59,77,5,3,1,3,1,2,1,4,5,1,2,4,2,3,3,7,5,6,5,6,4,1,8,10,3,3,2,6,7,3,0,3,2,3,3,9,70,,"34.338740,134.051256"
10,37201,,香川県,高松市,12/1/2018,常磐町２丁目,272,135,137,1,4,3,2,1,1,2,5,8,11,15,10,4,3,10,6,9,8,10,8,17,9,10,9,8,7,10,9,8,7,8,10,6,17,5,11,182,,"34.337613,134.051101"
11,37201,,香川県,高松市,12/1/2018,瓦町１丁目,186,100,86,0,3,4,0,4,4,4,1,3,4,4,3,3,0,4,1,6,7,5,6,13,2,6,4,6,6,10,13,9,7,9,8,8,12,2,5,122,,"34.341325,134.051585"
12,37201,,香川県,高松市,12/1/2018,瓦町２丁目,322,143,179,3,4,2,5,5,5,2,8,5,9,5,7,8,7,9,7,10,16,11,10,11,6,12,10,6,8,22,23,11,11,6,16,9,8,6,19,191,,"34.339954,134.051305"
13,37201,,香川県,高松市,12/1/2018,古馬場町,186,88,98,0,1,2,1,1,3,1,0,2,1,5,2,2,1,4,4,9,3,4,2,5,2,5,8,10,9,11,6,8,11,5,9,5,15,9,20,128,,"34.342517,134.051924"
14,37201,,香川県,高松市,12/1/2018,御坊町,142,69,73,0,1,5,1,5,1,1,1,3,2,3,0,3,4,3,3,5,5,4,7,7,7,7,2,2,5,5,5,5,10,2,8,5,6,4,5,73,,"34.343378,134.052548"
15,37201,,香川県,高松市,12/1/2018,今新町,148,70,78,3,0,1,2,2,0,3,1,2,2,3,3,1,1,4,4,5,6,8,6,4,5,7,2,2,4,4,8,8,5,2,7,6,7,5,15,93,,"34.343979,134.052660"
16,37201,,香川県,高松市,12/1/2018,大工町,187,84,103,0,1,2,0,0,2,4,4,6,4,4,2,4,7,3,6,7,3,8,7,6,9,5,3,8,9,9,12,3,12,5,4,7,4,3,14,128,,"34.344544,134.052793"
17,37201,,香川県,高松市,12/1/2018,百間町,288,150,138,6,3,5,7,6,3,8,4,6,6,13,3,4,6,8,8,9,14,18,10,11,7,8,12,9,6,8,7,11,12,5,7,4,4,11,19,176,,"34.345116,134.052861"
18,37201,,香川県,高松市,12/1/2018,片原町,315,145,170,6,3,6,6,2,2,3,4,2,5,5,3,7,9,8,7,10,15,12,8,13,14,12,11,14,13,8,10,12,18,12,9,4,10,9,23,182,,"34.345681,134.053043"
19,37201,,香川県,高松市,12/1/2018,鶴屋町,293,140,153,1,6,1,4,0,3,5,7,5,5,7,1,9,5,12,3,7,14,9,8,9,8,9,7,11,13,18,12,17,12,7,11,5,12,8,22,180,,"34.346738,134.055123"
20,37201,,香川県,高松市,12/1/2018,本町,470,242,228,6,3,1,2,2,0,4,3,22,19,29,24,12,19,14,7,19,9,12,14,20,16,18,12,22,16,14,11,10,21,16,15,9,16,12,21,325,,"34.348509,134.054779"
21,37201,,香川県,高松市,12/1/2018,北浜町,421,204,217,3,2,8,4,8,9,8,6,4,4,11,6,15,12,9,9,15,16,19,14,15,15,25,22,18,20,10,19,9,11,13,8,6,16,8,24,244,,"34.350584,134.055577"
22,37201,,香川県,高松市,12/1/2018,朝日町１丁目,10,6,4,0,0,0,0,0,0,0,0,0,0,3,2,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,10,,"34.349551,134.062394"
23,37201,,香川県,高松市,12/1/2018,朝日町２丁目,334,168,166,4,5,2,6,8,7,6,7,18,5,20,3,21,5,9,7,11,9,4,6,6,10,8,8,5,8,10,9,15,13,8,25,7,6,6,27,198,,"34.349476,134.065023"
24,37201,,香川県,高松市,12/1/2018,朝日町３丁目,9,6,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,1,0,0,0,0,1,0,0,2,1,0,1,0,8,,"34.349433,134.067854"
25,37201,,香川県,高松市,12/1/2018,朝日町４丁目,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,,"34.355141,134.063999"
26,37201,,香川県,高松市,12/1/2018,朝日町５丁目,34,33,1,0,0,0,0,0,0,2,0,5,1,15,0,8,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,,"34.350713,134.074847"
27,37201,,香川県,高松市,12/1/2018,朝日町６丁目,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,,"34.358639,134.077278"
28,37201,,香川県,高松市,12/1/2018,東浜町１丁目,78,36,42,0,1,1,0,0,0,1,0,2,3,1,3,2,3,1,2,1,1,4,0,2,6,3,3,4,0,0,4,3,4,4,4,2,3,5,5,54,,"34.345672,134.057062"
29,37201,,香川県,高松市,12/1/2018,城東町１丁目,169,80,89,0,1,1,4,1,2,0,2,3,6,10,2,4,4,3,5,4,3,4,6,5,3,5,5,8,6,11,10,4,8,9,7,5,6,3,9,111,,"34.34741472,134.05595611"
30,37201,,香川県,高松市,12/1/2018,城東町２丁目,122,71,51,0,0,1,3,1,1,2,0,2,0,2,0,3,0,3,0,3,6,9,5,7,3,4,0,4,4,5,2,8,2,7,7,3,10,7,8,83,,"34.349670,134.058749"
31,37201,,香川県,高松市,12/1/2018,朝日新町,6,3,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,3,,"34.360121,134.067116"
32,37201,,香川県,高松市,12/1/2018,通町,77,30,47,0,0,0,2,1,1,0,0,4,1,0,0,1,0,0,3,3,3,1,2,2,2,3,4,2,0,1,3,5,8,2,3,3,4,2,11,43,,"34.345184,134.055567"
