#LINK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#lang,ja,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#attribution_name,高松市,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#license,http://creativecommons.org/licenses/by/3.0/deed.ja,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#file_name,0066,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#download_from,https://opendata.smartcity-takamatsu.jp/ckan/dataset/population,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#property,prefCode,regionCode,prefName,cityName,surveyDate,regionName,totalPopulation,male,woman,man1,woman1,man2,woman2,man3,woman3,man4,woman4,man5,woman5,man6,woman6,man7,woman7,man8,woman8,man9,woman9,man10,woman10,man11,woman11,man12,woman12,man13,woman13,man14,woman14,man15,woman15,man16,woman16,man17,woman17,man18,woman18,numberOfHouseholds,note,location
#object_type_xsd,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string
#property_context,Assertion,Assertion,Assertion,Assertion,Assertion,Assertion,Assertion,Assertion,Assertion,Assertion,Assertion,Assertion,Assertion,Assertion,Assertion,Assertion,Assertion,Assertion,Assertion,Assertion,Assertion,Assertion,Assertion,Assertion,Assertion,Assertion,Assertion,Assertion,Assertion,Assertion,Assertion,Assertion,Assertion,Assertion,Assertion,Assertion,Assertion,Assertion,Assertion,Assertion,Assertion,Assertion,Assertion,Assertion,Assertion,Assertion,Assertion,Assertion
1,37201,,香川県,高松市,8/1/2020,塩屋町,225,98,127,0,5,3,1,4,2,3,4,3,5,9,7,2,4,8,8,11,6,11,13,7,14,10,9,4,6,4,11,9,9,4,6,2,8,4,9,140,,"34.342286,134.055021"
2,37201,,香川県,高松市,8/1/2020,築地町,655,310,345,5,7,6,8,7,7,13,6,7,15,28,17,8,17,17,16,25,16,22,30,24,23,25,29,27,28,21,24,34,27,19,28,13,18,9,29,396,,"34.341274,134.056839"
3,37201,,香川県,高松市,8/1/2020,塩上町,115,61,54,1,0,2,1,0,0,2,1,9,2,12,4,6,1,1,2,1,6,4,2,2,3,4,4,2,2,4,1,4,4,2,10,2,5,3,6,82,,"34.335876,134.052375"
4,37201,,香川県,高松市,8/1/2020,塩上町１丁目,224,115,109,1,1,1,2,3,0,3,1,6,10,9,7,5,4,10,1,6,3,11,5,9,11,6,5,5,4,4,12,15,11,8,11,8,10,5,11,153,,"34.338200,134.053646"
5,37201,,香川県,高松市,8/1/2020,塩上町２丁目,737,348,389,7,11,7,7,10,12,15,9,27,30,26,19,15,14,21,22,28,26,34,39,22,24,23,21,27,24,20,26,27,25,17,28,9,20,13,32,469,,"34.338544,134.055472"
6,37201,,香川県,高松市,8/1/2020,塩上町３丁目,632,309,323,11,11,14,11,12,10,10,8,12,16,16,13,16,15,20,25,26,20,24,25,27,18,16,14,17,20,22,24,28,33,15,23,9,16,14,21,365,,"34.339112,134.057533"
7,37201,,香川県,高松市,8/1/2020,八坂町,85,37,48,2,1,1,1,0,2,0,0,1,1,2,5,2,0,2,2,6,4,2,2,0,2,3,1,1,3,1,4,3,5,3,5,4,2,4,8,51,,"34.339782,134.053748"
8,37201,,香川県,高松市,8/1/2020,福田町,251,116,135,2,3,7,3,5,6,11,3,9,4,2,3,1,4,4,5,9,14,9,9,5,7,7,11,13,9,6,10,7,14,8,7,5,4,6,19,134,,"34.341477,134.053890"
9,37201,,香川県,高松市,8/1/2020,常磐町１丁目,130,54,76,4,2,1,3,0,2,3,2,2,3,2,6,2,1,3,7,4,7,4,6,7,3,8,8,2,4,1,5,7,2,1,3,1,3,2,9,71,,"34.338740,134.051256"
10,37201,,香川県,高松市,8/1/2020,常磐町２丁目,261,126,135,1,4,3,1,1,2,1,4,12,14,13,10,4,4,9,6,9,5,6,7,10,10,10,10,10,5,6,8,12,9,8,10,4,14,7,12,176,,"34.337613,134.051101"
11,37201,,香川県,高松市,8/1/2020,瓦町１丁目,190,101,89,1,2,3,1,4,3,4,3,4,1,3,7,3,2,6,2,2,5,6,7,11,0,9,6,8,4,8,10,11,8,5,10,10,6,3,12,128,,"34.341325,134.051585"
12,37201,,香川県,高松市,8/1/2020,瓦町２丁目,289,126,163,2,2,3,5,2,3,3,9,7,6,2,8,4,3,6,7,10,7,9,14,9,11,11,6,8,9,14,13,14,22,9,10,8,9,5,19,174,,"34.339954,134.051305"
13,37201,,香川県,高松市,8/1/2020,古馬場町,169,82,87,0,0,2,0,1,2,1,0,1,0,2,2,4,1,1,1,6,2,9,3,3,5,5,5,9,9,11,4,8,12,4,7,7,10,8,24,116,,"34.342517,134.051924"
14,37201,,香川県,高松市,8/1/2020,御坊町,138,69,69,0,2,3,0,5,1,4,2,4,3,2,1,2,2,4,3,4,5,8,6,5,5,7,2,2,1,3,6,5,12,3,6,2,7,6,5,70,,"34.343378,134.052548"
15,37201,,香川県,高松市,8/1/2020,今新町,133,62,71,2,0,2,2,1,0,1,1,3,1,2,3,1,1,1,2,3,5,7,3,7,6,7,4,1,3,3,6,7,6,2,6,4,6,8,16,83,,"34.343979,134.052660"
16,37201,,香川県,高松市,8/1/2020,大工町,173,83,90,0,0,4,0,0,0,2,5,7,3,2,1,7,3,4,6,10,0,7,11,5,7,5,4,3,8,12,9,3,11,5,5,2,5,5,12,120,,"34.344544,134.052793"
17,37201,,香川県,高松市,8/1/2020,百間町,285,141,144,5,4,2,6,7,3,7,6,3,6,8,4,7,5,7,7,11,15,15,12,17,10,9,11,6,9,9,5,8,6,9,14,3,2,8,19,174,,"34.345116,134.052861"
18,37201,,香川県,高松市,8/1/2020,片原町,302,138,164,3,2,5,4,1,6,4,3,3,4,3,2,6,7,8,5,7,12,13,10,7,12,16,13,12,15,14,9,9,17,14,11,4,11,9,21,172,,"34.345681,134.053043"
19,37201,,香川県,高松市,8/1/2020,鶴屋町,284,133,151,1,4,0,7,0,2,2,5,1,6,8,6,5,6,13,4,10,8,5,9,11,8,13,9,15,10,17,14,10,14,11,10,4,10,7,19,186,,"34.346738,134.055123"
20,37201,,香川県,高松市,8/1/2020,本町,461,227,234,3,1,2,0,2,2,5,5,18,40,25,20,16,15,9,7,12,7,19,14,11,15,22,8,21,18,17,14,14,19,11,18,11,15,9,16,333,,"34.348509,134.054779"
21,37201,,香川県,高松市,8/1/2020,北浜町,390,191,199,3,2,5,0,7,11,8,4,4,4,5,5,15,9,14,12,9,12,18,11,19,17,21,15,20,17,9,21,12,16,10,8,8,15,4,20,235,,"34.350584,134.055577"
22,37201,,香川県,高松市,8/1/2020,朝日町１丁目,16,10,6,0,0,0,0,0,0,0,0,1,0,7,4,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,15,,"34.349551,134.062394"
