#LINK,,,,,,,,,
#lang,ja,,,,,,,,
#attribution_name,高松市,,,,,,,,
#license,http://creativecommons.org/licenses/by/3.0/deed.ja,,,,,,,,
#file_name,0068,,,,,,,,
#download_from,https://opendata.smartcity-takamatsu.jp/ckan/dataset/future_population_data,,,,,,,,
#property,era,headCount,youthPopulation,middlePopulation,oldPopulation,headCountTakamatsu,youthPopulationTakamatsu,middlePopulationTakamatsu,oldPopulationTakamatsu
#object_type_xsd,string,string,string,string,string,string,string,string,string
#property_context,Assertion,Assertion,Assertion,Assertion,Assertion,Assertion,Assertion,Assertion,Assertion
1,2015,420748,56019,250912,113817,420748,56019,250912,113817
2,2020,419145,53252,244396,121497,419145,53252,244396,121497
3,2025,414549,50183,240268,124099,416292,51432,240644,124216
4,2030,407952,47674,234756,125522,413304,51820,235464,126020
5,2035,399465,45430,225614,128421,408114,52370,226688,129055
6,2040,389216,44104,209444,135669,402863,54465,211799,136598
7,2045,378116,42699,197759,137658,397792,55136,202913,139742
8,2050,366371,40894,189373,136104,391862,55738,197568,138556
9,2055,353364,38825,183038,131502,385134,54509,196682,133942
10,2060,338812,36751,176820,125241,377149,53518,196236,127395
11,2065,323190,34999,168690,119501,368852,53313,194203,121336
