#LINK,,,
#lang,ja,,
#attribution_name,高松市,,
#license,http://creativecommons.org/licenses/by/3.0/deed.ja,,
#file_name,0074,,
#download_from,https://opendata.smartcity-takamatsu.jp/ckan/dataset/garbage_separation_list,,
#property,name,classification,note
#object_type_xsd,string,string,string
#property_context,Assertion,Assertion,Assertion
1,ＩＣレコーダー,破砕ごみ,小型家電として回収ボックスに投入できます
2,アイロン,破砕ごみ,
3,アイロン台,破砕ごみ,大きさ1m×50cm×50cm又は重量10kgを超えるものは「臨時・粗大ごみ」
4,空き缶（オイル缶・塗料缶は除く）,缶・びん・ペットボトル,使い切り、洗浄したもの
5,アコーディオンカーテン,臨時・粗大ごみ,
6,あぜ波（プラスチック）,収集不可,販売店などにお問い合わせください
7,アダプター（電気製品）,破砕ごみ,コード部分は50cm以下に切る
8,油（廃油）,収集不可,販売店などにお問い合わせください
9,油（食用油・廃食油）,燃やせるごみ,紙に含ませるか、固形化させる
10,油紙,燃やせるごみ,
11,編み機,臨時・粗大ごみ,
12,網（魚焼用金網）,破砕ごみ,
13,網（野菜ネット）,プラスチック容器包装,中身を空にしたものに限る
14,網戸,臨時・粗大ごみ,請負工事で発生したものは収集不可
15,アルバム,燃やせるごみ,金属等がついているものは「破砕ごみ」
16,アルミサッシ・サッシ,臨時・粗大ごみ,請負工事で発生したものは収集不可
17,アルミ箔なべ（鍋焼きうどん等用）,破砕ごみ,
18,アルミホイル（アルミ箔）,破砕ごみ,
19,アンテナ（テレビ用）,破砕ごみ,1m以下に切る
20,アンテナ（衛星放送用）,破砕ごみ,直径50cm以下に限る
21,石,収集不可,
22,衣装ケース（紙製）,燃やせるごみ,50cm以下に畳む。畳めないものは「臨時・粗大ごみ」
23,衣装ケース（紙製以外）,破砕ごみ,大きさ1m×50cm×50cm又は重量10kgを超えるものは「臨時・粗大ごみ」
,,,
25,いす,破砕ごみ,大きさ1m×50cm×50cm又は重量10kgを超えるものは「臨時・粗大ごみ」
26,板くず（厚さ5cm・長さ50cm以下）　2袋まで,燃やせるごみ,請負工事で発生したものは収集不可
27,板くず（厚さ5cm・長さ50cm以下）　3袋以上,臨時・粗大ごみ,請負工事で発生したものは収集不可
,,,
29,一輪車（乗用）,破砕ごみ,
30,一斗缶,破砕ごみ,中身を抜き取る
31,一升びん,缶・びん・ペットボトル,原則として販売店に返却する
,,,
33,犬小屋（解体済）,破砕ごみ,大きさ1m×50cm×50cm又は重量10kgを超えるものは「臨時・粗大ごみ」
34,衣類,紙・布,汚れているものは「燃やせるごみ」
35,衣類乾燥機,家電リサイクル法対象品,
36,インクリボン（ワープロ・パソコン用）,燃やせるごみ,
37,植木鉢（プラスチック製・陶磁器）,破砕ごみ,
38,ウォシュレット,破砕ごみ,
39,浮き輪,破砕ごみ,
40,上靴,破砕ごみ,
41,運動靴,破砕ごみ,
42,エアコン,家電リサイクル法対象品,
43,エアークッション（気泡緩衝材）,プラスチック容器包装,
44,エアゾール,缶・びん・ペットボトル,使い切り、火の気のない風通しの良い屋外で穴を開ける
45,FRP船,収集不可,リサイクル対象品
46,絵具,破砕ごみ,
47,ＭＤプレーヤー,破砕ごみ,小型家電として回収ボックスに投入できます
48,ＭＤミニディスク,破砕ごみ,
49,エレクトーン,臨時・粗大ごみ,
50,円柱型紙缶（ポテトチップス等）,紙・布,中身を使い切ったものに限る
,,,
52,オアシス（花材スポンジ）,破砕ごみ,
53,オイル缶・塗料缶,破砕ごみ,火災の恐れがあるため、中身を抜き取る
54,オイルヒーター,臨時・粗大ごみ,20kg以下、20kgを超えるものでそれぞれ手数料が異なります
,,,
56,オーディオラック,臨時・粗大ごみ,
57,オートバイ,収集不可,リサイクル対象品
58,オーブントースター・オーブンレンジ,破砕ごみ,大きさ1m×50cm×50cm又は重量10kgを超えるものは「臨時・粗大ごみ」
59,落ち葉,燃やせるごみ,2袋まで。3袋以上は「臨時・粗大ごみ」
60,斧（おの）,破砕ごみ,柄を1m以下に切る
61,おむつ（紙おむつを含む）,燃やせるごみ,汚物を取り除く
62,おもちゃ（木製）,燃やせるごみ,
63,おもちゃ（金属製・混合素材）,破砕ごみ,
64,折込広告・チラシ,紙・布,新聞と一緒にしばる
65,オルガン,臨時・粗大ごみ,
66,温水器（ガス湯沸し器等）,破砕ごみ,大きさ1m×50cm×50cm又は重量10kgを超えるものは「臨時・粗大ごみ」。請負工事で発生したものは収集不可
67,温度計（水銀以外）,破砕ごみ,水銀温度計は「有害ごみ」
68,温風機・温風扇,破砕ごみ,大きさ1m×50cm×50cm又は重量10kgを超えるものは「臨時・粗大ごみ」
69,カーテン,燃やせるごみ,2袋まで（指定収集袋に入るものに限る）
70,カーナビ・ＶＩＣＳユニット,破砕ごみ,小型家電として回収ボックスに投入できます
71,カーペット（天然性）,燃やせるごみ,50cm以下に畳む又は切って指定収取袋に入れる。入らないものは「臨時・粗大ごみ」
72,カーペット（天然性以外）,破砕ごみ,大きさ1m×50cm×50cm以下に畳む又は切って指定収取袋に入れる。入らないもの又は重量10kgを超えるものは「臨時・粗大ごみ」
73,カーボン紙,燃やせるごみ,
74,貝殻,燃やせるごみ,
76,懐中電灯,破砕ごみ,電池は取り外して「有害ごみ」
