#LINK,,,,,,,
#lang,ja,,,,,,
#attribution_name,高松市,,,,,,
#license,http://creativecommons.org/licenses/by/3.0/deed.ja,,,,,,
#file_name,0075,,,,,,
#download_from,https://opendata.smartcity-takamatsu.jp/ckan/dataset/polling_place_list,,,,,,
#property,votingDistrict,name,fullNameInKana,address,smallConstituencies,location,referenceObject
#object_type_xsd,string,string,string,string,string,string,string
#property_context,Assertion,Assertion,Assertion,Assertion,Assertion,Assertion,Assertion
1,第1投票区,瀬戸内保育所,セトウチホイクショ,香川県高松市瀬戸内町23-7,香川県第１区,"34.347226,134.032642",https://takamatsu.geocloud.jp/webgis/?z%3D17&ll%3D34.347226%252C134.032642&t%3Droadmap&mp%3D30&op%3D70&vlf%3D-1
2,第2投票区,新番丁小学校体育館,シンバンチョウショウガッコウタイイクカン,香川県高松市錦町2-14-1,香川県第１区,"34.345756,134.040999",https://takamatsu.geocloud.jp/webgis/?z%3D17&ll%3D34.345756%252C134.040999&t%3Droadmap&mp%3D30&op%3D70&vlf%3D-1
3,第3投票区,旧四番丁小学校体育館,キュウヨバンチョウショウガッコウタイイクカン,香川県高松市番町1-5-1,香川県第１区,"34.343304,134.047063",https://takamatsu.geocloud.jp/webgis/?z%3D17&ll%3D34.343304%252C134.047063&t%3Droadmap&mp%3D10&op%3D70&vlf%3D10-2-000000
4,第4投票区,紫雲中学校体育館,シウンチュウガッコウタイイクカン,香川県高松市紫雲町8-25,香川県第１区,"34.340976,134.033882",https://takamatsu.geocloud.jp/webgis/?z%3D17&ll%3D34.340976%252C134.033882&t%3Droadmap&mp%3D30&op%3D70&vlf%3D-1
5,第5投票区,亀阜小学校体育館,カメオカショウガッコウタイイクカン,香川県高松市亀岡町10-1,香川県第１区,"34.338419,134.039996",https://takamatsu.geocloud.jp/webgis/?z%3D17&ll%3D34.338419%252C134.039996&t%3Droadmap&mp%3D30&op%3D70&vlf%3D-1
6,第6投票区,高松市保健センター,タカマツシホケンセンター,香川県高松市桜町1-9-12,香川県第１区,"34.330375,134.051907",https://takamatsu.geocloud.jp/webgis/?z%3D17&ll%3D34.330375%252C134.051907&t%3Droadmap&mp%3D40&op%3D77&vlf%3D-1
7,第7投票区,桜町中学校体育館,サクラマチチュウガッコウタイイクカン,香川県高松市桜町2-12-4,香川県第１区,"34.326694,134.051883",https://takamatsu.geocloud.jp/webgis/?z%3D17&ll%3D34.326694%252C134.051883&t%3Droadmap&mp%3D30&op%3D70&vlf%3D-1
8,第8投票区,花園小学校体育館,ハナゾノショウガッコウタイイクカン,香川県高松市花園町2-7-7,香川県第１区,"34.33385,134.057267",https://takamatsu.geocloud.jp/webgis/?z%3D17&ll%3D34.33385%252C134.057267&t%3Droadmap&mp%3D30&op%3D70&vlf%3D30-2-000f3f
9,第9投票区,玉藻中学校旧体育館,タマモチュウガッコウキュウタイイクカン,香川県高松市上福岡町714-1,香川県第１区,"34.334158,134.066266",https://takamatsu.geocloud.jp/webgis/?z%3D17&ll%3D34.334158%252C134.066266&t%3Droadmap&mp%3D30&op%3D70&vlf%3D30-2-000f3f
10,第10投票区,高松第一小学校体育館,タカマツダイイチショウガッコウタイイクカン,香川県高松市松島町2-14-5,香川県第１区,"34.33915,134.061954",https://takamatsu.geocloud.jp/webgis/?z%3D17&ll%3D34.33915%252C134.061954&t%3Droadmap&mp%3D30&op%3D70&vlf%3D30-2-000f3b
11,第11投票区,旧築地小学校体育館,キュウツキジショウガッコウタイイクカン,香川県高松市築地町14-1,香川県第１区,"34.341481,134.05716",https://takamatsu.geocloud.jp/webgis/?z%3D17&ll%3D34.341481%252C134.05716&t%3Droadmap&mp%3D30&op%3D70&vlf%3D30-2-000f3b
12,第12投票区,旧新塩屋町小学校体育館,キュウシンシオヤマチショウガッコウタイイクカン,香川県高松市末広町5,香川県第１区,"34.344841,134.056011",https://takamatsu.geocloud.jp/webgis/?z%3D17&ll%3D34.344841%252C134.056011&t%3Droadmap&mp%3D30&op%3D70&vlf%3D30-2-000f1b
13,第13投票区,旧鶴尾中学校体育館,キュウツルオチュウガッコウタイイクカン,香川県高松市松並町639-1,香川県第１区,"34.315545,134.027039",https://takamatsu.geocloud.jp/webgis/?z%3D17&ll%3D34.315545%252C134.027039&t%3Droadmap&mp%3D30&op%3D70&vlf%3D30-2-000f1a
14,第14投票区,鶴尾小学校体育館,ツルオショウガッコウタイイクカン,香川県高松市松並町636-1,香川県第１区,"34.315761,134.028366",https://takamatsu.geocloud.jp/webgis/?z%3D17&ll%3D34.315761%252C134.028366&t%3Droadmap&mp%3D30&op%3D70&vlf%3D30-2-000f19
15,第15投票区,太田南小学校体育館,オオタミナミショウガッコウタイイクカン,香川県高松市太田下町1823-1,香川県第１区,"34.305726,134.04443",https://takamatsu.geocloud.jp/webgis/?z%3D17&ll%3D34.305726%252C134.04443&t%3Droadmap&mp%3D30&op%3D70&vlf%3D30-2-000f19
16,第16投票区,太田小学校体育館,オオタショウガッコウタイイクカン,香川県高松市伏石町845-1,香川県第１区,"34.312045,134.052128",https://takamatsu.geocloud.jp/webgis/?z%3D17&ll%3D34.312045%252C134.052128&t%3Droadmap&mp%3D30&op%3D70&vlf%3D30-2-000f19
17,第17投票区,中央小学校体育館,チュウオウショウガッコウタイイクカン,香川県高松市松縄町1138,香川県第１区,"34.31188,134.062834",https://takamatsu.geocloud.jp/webgis/?z%3D17&ll%3D34.31188%252C134.062834&t%3Droadmap&mp%3D30&op%3D70&vlf%3D30-2-000f19
18,第18投票区,木太南小学校体育館,キタミナミショウガッコウタイイクカン,香川県高松市木太町1530-1,香川県第１区,"34.320841,134.075544",https://takamatsu.geocloud.jp/webgis/?z%3D17&ll%3D34.320841%252C134.075544&t%3Droadmap&mp%3D30&op%3D70&vlf%3D30-2-000f19
19,第19投票区,木太小学校体育館,キタショウガッコウタイイクカン,香川県高松市木太町3480-1,香川県第１区,"34.325096,134.076823",https://takamatsu.geocloud.jp/webgis/?z%3D17&ll%3D34.325096%252C134.076823&t%3Droadmap&mp%3D30&op%3D70&vlf%3D30-2-000f19
20,第20投票区,木太北部小学校体育館,キタホクブショウガッコウタイイクカン,香川県高松市木太町2613,香川県第１区,"34.335848,134.079912",https://takamatsu.geocloud.jp/webgis/?z%3D17&ll%3D34.335848%252C134.079912&t%3Droadmap&mp%3D30&op%3D70&vlf%3D30-2-000f19
21,第21投票区,春日幼稚園,カスガヨウチエン,香川県高松市春日町744,香川県第１区,"34.325661,134.091286",https://takamatsu.geocloud.jp/webgis/?z%3D17&ll%3D34.325661%252C134.091286&t%3Droadmap&mp%3D30&op%3D70&vlf%3D30-2-000fd9
22,第22投票区,古高松小学校体育館,フルタカマツショウガッコウタイイクカン,香川県高松市高松町398,香川県第１区,"34.332405,134.106591",https://takamatsu.geocloud.jp/webgis/?z%3D17&ll%3D34.332405%252C134.106591&t%3Droadmap&mp%3D30&op%3D70&vlf%3D30-2-000f19
23,第23投票区,屋島小学校体育館,ヤシマショウガッコウタイイクカン,香川県高松市屋島西町1205-1,香川県第１区,"34.347316,134.100637",https://takamatsu.geocloud.jp/webgis/?z%3D17&ll%3D34.347316%252C134.100637&t%3Droadmap&mp%3D30&op%3D70&vlf%3D30-2-000f19
24,第24投票区,屋島東小学校体育館,ヤシマヒガシショウガッコウタイイクカン,香川県高松市屋島東町942-1,香川県第１区,"34.354208,134.116611",https://takamatsu.geocloud.jp/webgis/?z%3D17&ll%3D34.354208%252C134.116611&t%3Droadmap&mp%3D30&op%3D70&vlf%3D30-2-000f19
25,第25投票区,前田小学校体育館,マエダショウガッコウタイイクカン,香川県高松市前田東町819-3,香川県第１区,"34.296382,134.113177",https://takamatsu.geocloud.jp/webgis/?z%3D17&ll%3D34.296382%252C134.113177&t%3Droadmap&mp%3D30&op%3D70&vlf%3D30-2-000f19
26,第26投票区,川添小学校体育館,カワゾエショウガッコウタイイクカン,香川県高松市東山崎町207-1,香川県第１区,"34.306199,134.093043",https://takamatsu.geocloud.jp/webgis/?z%3D17&ll%3D34.306199%252C134.093043&t%3Droadmap&mp%3D30&op%3D70&vlf%3D30-2-000f19
27,第27投票区,林小学校体育館,ハヤシショウガッコウタイイクカン,香川県高松市林町1108-1,香川県第１区,"34.301612,134.069787",https://takamatsu.geocloud.jp/webgis/?z%3D17&ll%3D34.301612%252C134.069787&t%3Droadmap&mp%3D30&op%3D70&vlf%3D30-2-000f19
28,第28投票区,三渓小学校体育館,サンケイショウガッコウタイイクカン,香川県高松市三谷町2173-1,香川県第１区,"34.27407,134.068506",https://takamatsu.geocloud.jp/webgis/?z%3D17&ll%3D34.27407%252C134.068506&t%3Droadmap&mp%3D30&op%3D70&vlf%3D30-2-000f19
29,第29投票区,多肥小学校体育館,タヒショウガッコウタイイクカン,香川県高松市多肥上町902-2,香川県第１区,"34.291913,134.052581",https://takamatsu.geocloud.jp/webgis/?z%3D18&ll%3D34.291913%252C134.052581&t%3Droadmap&mp%3D30&op%3D70&vlf%3D30-2-000001
30,第30投票区,仏生山小学校体育館,ブッショウザンショウガッコウタイイクカン,香川県高松市仏生山町甲2461,香川県第１区,"34.274732,134.047781",https://takamatsu.geocloud.jp/webgis/?z%3D17&ll%3D34.274732%252C134.047781&t%3Droadmap&mp%3D30&op%3D70&vlf%3D30-2-000f19
31,第31投票区,一宮小学校体育館,イチノミヤショウガッコウタイイクカン,香川県高松市一宮町672-1,香川県第１区,"34.291104,134.024168",https://takamatsu.geocloud.jp/webgis/?z%3D17&ll%3D34.291104%252C134.024168&t%3Droadmap&mp%3D30&op%3D70&vlf%3D30-2-000f19
32,第32投票区,らく楽寺井幼稚園,ラクラクテライヨウチエン,香川県高松市寺井町1369-4,香川県第１区,"34.279858,134.022473",https://takamatsu.geocloud.jp/webgis/?z%3D17&ll%3D34.279858%252C134.022473&t%3Droadmap&mp%3D30&op%3D70&vlf%3D30-2-000fd9
33,第33投票区,川岡小学校体育館,カワオカショウガッコウタイイクカン,香川県高松市川部町1552,香川県第１区,"34.26759,134.006993",https://takamatsu.geocloud.jp/webgis/?z%3D17&ll%3D34.26759%252C134.006993&t%3Droadmap&mp%3D30&op%3D70&vlf%3D30-2-000f19
34,第34投票区,円座小学校体育館,エンザショウガッコウタイイクカン,香川県高松市円座町1630-2,香川県第１区,"34.285043,134.00388",https://takamatsu.geocloud.jp/webgis/?z%3D17&ll%3D34.285043%252C134.00388&t%3Droadmap&mp%3D30&op%3D70&vlf%3D30-2-000f19
35,第35投票区,檀紙小学校体育館,ダンシショウガッコウタイイクカン,香川県高松市御廐町816,香川県第１区,"34.300177,133.994422",https://takamatsu.geocloud.jp/webgis/?z%3D17&ll%3D34.300177%252C133.994422&t%3Droadmap&mp%3D30&op%3D70&vlf%3D30-2-000f19
36,第36投票区,弦打小学校体育館,ツルウチショウガッコウタイイクカン,香川県高松市鶴市町374-1,香川県第１区,"34.328406,134.004553",https://takamatsu.geocloud.jp/webgis/?z%3D17&ll%3D34.328406%252C134.004553&t%3Droadmap&mp%3D30&op%3D70&vlf%3D30-2-000f19
37,第37投票区,鬼無小学校体育館,キナシショウガッコウタイイクカン,香川県高松市鬼無町佐藤607-1,香川県第１区,"34.326826,133.990697",https://takamatsu.geocloud.jp/webgis/?z%3D17&ll%3D34.326826%252C133.990697&t%3Droadmap&mp%3D30&op%3D70&vlf%3D30-2-000f19
38,第38投票区,香西小学校体育館,コウザイショウガッコウタイイクカン,香川県高松市香西南町703-1,香川県第１区,"34.344806,133.998259",https://takamatsu.geocloud.jp/webgis/?z%3D17&ll%3D34.344806%252C133.998259&t%3Droadmap&mp%3D30&op%3D70&vlf%3D30-2-000f19
39,第39投票区,下笠居小学校体育館,シモカサイショウガッコウタイイクカン,香川県高松市生島町345,香川県第１区,"34.358386,133.967994",https://takamatsu.geocloud.jp/webgis/?z%3D17&ll%3D34.358386%252C133.967994&t%3Droadmap&mp%3D30&op%3D70&vlf%3D30-2-000f19
40,第40投票区,女木コミュニティセンター,メギコミュニティセンター,香川県高松市女木町203-1,香川県第１区,"34.391681,134.052529",https://takamatsu.geocloud.jp/webgis/?z%3D17&ll%3D34.391681%252C134.052529&t%3Droadmap&mp%3D60&op%3D70&vlf%3D-1
41,第41投票区,男木コミュニティセンター,オギコミュニティセンター,香川県高松市男木町134,香川県第１区,"34.421031,134.0555",https://takamatsu.geocloud.jp/webgis/?z%3D17&ll%3D34.421031%252C134.0555&t%3Droadmap&mp%3D60&op%3D70&vlf%3D-1
42,第42投票区,川島小学校体育館,カワシマショウガッコウタイイクカン,香川県高松市川島東町864-1,香川県第１区,"34.275668,134.08907",https://takamatsu.geocloud.jp/webgis/?z%3D17&ll%3D34.275668%252C134.08907&t%3Droadmap&mp%3D30&op%3D70&vlf%3D30-2-000f3f
43,第43投票区,十河小学校体育館,ソゴウショウガッコウタイイクカン,香川県高松市十川西町366-5,香川県第１区,"34.274712,134.102236",https://takamatsu.geocloud.jp/webgis/?z%3D17&ll%3D34.274712%252C134.102236&t%3Droadmap&mp%3D30&op%3D70&vlf%3D30-2-000f3f
44,第44投票区,東植田小学校体育館,ヒガシウエタショウガッコウタイイクカン,香川県高松市東植田町2008,香川県第１区,"34.238958,134.097899",https://takamatsu.geocloud.jp/webgis/?z%3D17&ll%3D34.238958%252C134.097899&t%3Droadmap&mp%3D30&op%3D70&vlf%3D30-2-000f3f
45,第45投票区,東植田小学校菅沢分校体育館,ヒガシウエタショウガッコウスゲザワブンコウタイイクカン,香川県高松市菅沢町339,香川県第１区,"34.193567,134.098236",https://takamatsu.geocloud.jp/webgis/?z%3D17&ll%3D34.193567%252C134.098236&t%3Droadmap&mp%3D30&op%3D70&vlf%3D30-2-000f3f
46,第46投票区,植田小学校体育館,ウエタショウガッコウタイイクカン,香川県高松市西植田町2337,香川県第１区,"34.239421,134.077851",https://takamatsu.geocloud.jp/webgis/?z%3D17&ll%3D34.239421%252C134.077851&t%3Droadmap&mp%3D30&op%3D70&vlf%3D30-2-000f3f
47,第47投票区,古高松南小学校体育館,フルタカマツミナミショウガッコウタイイクカン,香川県高松市新田町甲2605,香川県第１区,"34.326985,134.098855",https://takamatsu.geocloud.jp/webgis/?z%3D17&ll%3D34.326985%252C134.098855&t%3Droadmap&mp%3D30&op%3D70&vlf%3D30-2-000f3f
48,第48投票区,屋島西小学校体育館,ヤシマニシショウガッコウタイイクカン,香川県高松市屋島西町2469,香川県第１区,"34.351725,134.090476",https://takamatsu.geocloud.jp/webgis/?z%3D17&ll%3D34.351725%252C134.090476&t%3Droadmap&mp%3D30&op%3D70&vlf%3D30-2-00003f
49,第49投票区,塩江コミュニティセンター,シオノエコミュニティセンター,香川県高松市塩江町安原下第2号1645,香川県第２区,"34.196482,134.042363",https://takamatsu.geocloud.jp/webgis/?z%3D17&ll%3D34.196482%252C134.042363&t%3Droadmap&mp%3D10&op%3D70&sa%3D1&vlf%3D-1
50,第50投票区,旧安原小学校戸石分校,キュウヤスハラショウガッコウトイシブンコウ,香川県高松市塩江町安原下第2号857,香川県第２区,"34.154981,134.025195",https://takamatsu.geocloud.jp/webgis/?z%3D16&ll%3D34.154981%252C134.025195&t%3Droadmap&mp%3D30&op%3D70&vlf%3D30-2-00003f
