#LINK,,,,,,,,,,,,,,,
#lang,ja,,,,,,,,,,,,,,
#attribution_name,高松市,,,,,,,,,,,,,,
#license,http://creativecommons.org/licenses/by/3.0/deed.ja,,,,,,,,,,,,,,
#file_name,0076,,,,,,,,,,,,,,
#download_from,https://opendata.smartcity-takamatsu.jp/ckan/dataset/agricultural_facilities_List,,,,,,,,,,,,,,
#property,name,address,location,telephoneNumber,startTime,endTime,closingDay,roomType1,roomSize1,roomType2,roomSize2,roomType3,roomSize3,roomType4,roomSize4
#object_type_xsd,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string
#property_context,Assertion,Assertion,Assertion,Assertion,Assertion,Assertion,Assertion,Assertion,Assertion,Assertion,Assertion,Assertion,Assertion,Assertion,Assertion
1,高松市香川町浅野地区集落研修センター,高松市香川町浅野1968番地15,"34.253751,134.044642",087-839-2422,09:00,22:00,月曜日、祝日、年末年始,集会室１,24畳,集会室２,20畳,,,, 
2,高松市香川町丸山地区構造改善センター,高松市香川町川東上2598番地１,"34.240907,134.047032",087-839-2422,09:00,22:00,月曜日、祝日、年末年始,研修室,32畳,,,,,,
3,高松市香川町高齢者活動促進センター,高松市香川町東谷159番地１,"34.216582,134.050501",087-839-2422,09:00,22:00,月曜日、祝日、年末年始,会議室,25畳,研修室,19.38㎡,調理実習室,19.35㎡,,
4,高松市香川町多目的研修集会施設,高松市香川町安原下第３号194番地１,"34.212043,134.031391",087-839-2422,09:00,21:00,月曜日、祝日、年末年始,大集会室,369.2㎡,研修室,18畳,,,,
5,高松市塩江町高齢者活動促進センター,高松市塩江町安原下第２号1747番地2,"34.200554,134.038954",087-839-2422,09:00,21:00,月曜日、祝日、年末年始,大会議室,21畳,調理実習室,18.9㎡,研修室,97.26㎡,,
6,高松市香南町岡集会所,高松市香南町岡605番地３,"34.231951,134.021502",087-839-2422,08:00,21:00,月曜日、祝日、年末年始,集会室,64.8㎡,調理室,16.2㎡,,,,
7,高松市香南町西庄集会所,高松市香南町西庄1203番地１,"34.241482,133.999299",087-839-2422,08:00,21:00,月曜日、祝日、年末年始,集会室,54㎡,調理室,23㎡,和室,16㎡,,
8,高松市香南町原集会所,高松市香南町由佐1687番地１,"34.233962,134.010987",087-839-2422,08:00,21:00,月曜日、祝日、年末年始,集会室,49.5㎡,調理室,18.35㎡,,,,
9,高松市香南町横井集会所,高松市香南町横井388番地１,"34.246112,134.008962",087-839-2422,08:00,21:00,月曜日、祝日、年末年始,集会室,59.3㎡,調理室,23.6㎡,和室,18.76㎡,,
10,高松市香南町吉光研修センター,高松市香南町吉光159番地,"34.255252,134.013184",087-839-2422,08:00,21:00,月曜日、祝日、年末年始,集会室,56.81㎡,調理室,21.66㎡,和室,18.62㎡,,
11,高松市香南町池西農村環境改善センター,高松市香南町池内522番地1,"34.245211,134.000370",087-839-2422,09:00,22:00,月曜日、祝日、年末年始,多目的ホール,192㎡,和室会議室,63㎡,調理実習室,54㎡,農事研修室,99㎡
12,高松市香南町由佐農村環境改善センター,高松市香南町由佐357番地2,"34.240298,134.018974",087-839-2422,09:00,22:00,月曜日、祝日、年末年始,多目的ホール,218.48㎡,第1研修室,53.81㎡,第2研修室,53.82㎡,調理実習室,59.42㎡
