#LINK,,,,
#lang,ja,,,
#attribution_name,高松市,,,
#license,http://creativecommons.org/licenses/by/3.0/deed.ja,,,
#file_name,0082,,,
#download_from,https://opendata.smartcity-takamatsu.jp/ckan/dataset/reservoir_list,,,
#property,code,reservoirName,address,location
#object_type_xsd,string,string,string,string
#property_context,Assertion,Assertion,Assertion,Assertion
1,372010006,新池,屋島東町明神1055,"34.3514581987302,134.114020985276"
2,372010063,蓮池上池,鬼無町佐藤774番,"34.3279241478676,133.984304630606"
3,372010066,石ヶ谷下池,植松町365,"34.349085284027,133.983270137873"
4,372010067,石ヶ谷上池,植松町368,"34.3491090702765,133.982682006014"
5,372010068,西之下池,中山町226,"34.3494488326176,133.976439743042"
6,372010069,新池,中山町408,"34.347895880783,133.973152249577"
7,372010070,坂の池,中山町1288,"34.3455566522629,133.96888896845"
8,372010072,根香奥池,中山町1475,"34.3441911343159,133.967185564371"
9,372010074,北山池,亀水町802,"34.3696803971925,133.950896450191"
10,372010075,北山上池,亀水町804,"34.3697014306309,133.951815654808"
11,372010076,原池上池,亀水町1316,"34.3582246750162,133.953787310339"
12,372010095,みかん池,庵治町字鎌野東4739,"34.3840648038419,134.148500383372"
13,372010099,増田池３号,庵治町字生ﾉ国3324,"34.3746020035482,134.151474392975"
14,372010107,赤坂新池,香川町浅野山田2577,"34.2463713388716,134.050271720697"
15,372010109,北谷下池,香川町川東上丸山2509,"34.2440289596398,134.045626249137"
16,372010110,北谷上池,香川町川東上丸山2507,"34.2440396069193,134.04638951841"
17,372010111,南谷上池,香川町川東上上丸山2552,"34.2429789997944,134.048866096853"
18,372010115,長田奥池,香川町川内原長田696ｰ2,"34.2252101369384,134.044378361109"
19,372010138,斉藤池,香南町由佐2142ｰ1,"34.2313436922425,134.004357096765"
20,372010200,中池,三谷町北山4757,"34.2717446535515,134.059801299516"
21,372010214,夷池1,香西西町801,"34.344985107637,133.990429255567"
22,372010215,袋屋池,高松市神在川窪町414,"34.3594118755863,133.971845250174"
23,372010216,平見池,植松町436,"34.3518375962336,133.98615530984"
24,372010217,前池,中山町213,"34.3496757829651,133.97567204096"
25,372010218,中の谷池,中山町374,"34.3478639266147,133.978326950435"
26,372010219,袋屋池,生島町393,"34.3558516890737,133.966050564706"
27,372010220,木出池,亀水町19,"34.3612171691831,133.959172061472"
28,372010221,亀の子池,牟礼町牟礼3633,"34.3588510102477,134.126581521152"
