#LINK,,,,
#lang,ja,,,
#attribution_name,高松市,,,
#license,http://creativecommons.org/licenses/by/3.0/deed.ja,,,
#file_name,0084,,,
#download_from,https://opendata.smartcity-takamatsu.jp/ckan/dataset/menu_Information,,,
#property,lunchDay,menuName,foodName,quantity
#object_type_xsd,string,string,string,string
#property_context,Assertion,Assertion,Assertion,Assertion
1,6/1/2022,麦ごはん,精白米（委託）,70
2,6/1/2022,麦ごはん,米粒麦　委託,7
3,6/1/2022,牛乳,牛乳,206
4,6/1/2022,麻婆豆腐,豚肉赤身ミンチ,25
5,6/1/2022,麻婆豆腐,清酒,1
6,6/1/2022,麻婆豆腐,豆腐,80
7,6/1/2022,麻婆豆腐,玉葱,35
8,6/1/2022,麻婆豆腐,人参,10
9,6/1/2022,麻婆豆腐,中ねぎ,5
10,6/1/2022,麻婆豆腐,生姜,1
11,6/1/2022,麻婆豆腐,にんにく　,0.8
12,6/1/2022,麻婆豆腐,サラダ油,1
13,6/1/2022,麻婆豆腐,（袋）トマトケチャップ　１kg,5
14,6/1/2022,麻婆豆腐,しょうゆ,3.5
15,6/1/2022,麻婆豆腐,（袋）がらスープ,3
16,6/1/2022,麻婆豆腐,赤みそ,3
17,6/1/2022,麻婆豆腐,清酒,1
18,6/1/2022,麻婆豆腐,三温糖,0.5
19,6/1/2022,麻婆豆腐,チキンコンソメ,0.5
20,6/1/2022,麻婆豆腐,食塩,0.1
21,6/1/2022,麻婆豆腐,豆板醤,0.1
22,6/1/2022,麻婆豆腐,でんぷん,1
23,6/1/2022,麻婆豆腐,ごま油,0.1
24,6/1/2022,麻婆豆腐,湯,35
25,6/1/2022,きゅうりのサラダ,もやし,30
26,6/1/2022,きゅうりのサラダ,きゅうり,25
27,6/1/2022,きゅうりのサラダ,人参,5
28,6/1/2022,きゅうりのサラダ,炒り白ごま,1
29,6/1/2022,きゅうりのサラダ,棒々鶏ドレッシング,8
30,6/2/2022,いり黒豆の炊きこみごはん,精白米（自校）,60
31,6/2/2022,いり黒豆の炊きこみごはん,牛肉（２×２㎝スライス）,15
32,6/2/2022,いり黒豆の炊きこみごはん,炒り黒豆,8
33,6/2/2022,いり黒豆の炊きこみごはん,油揚げ,5
34,6/2/2022,いり黒豆の炊きこみごはん,人参,7
35,6/2/2022,いり黒豆の炊きこみごはん,サラダ油,0.8
36,6/2/2022,いり黒豆の炊きこみごはん,しょうゆ,3
37,6/2/2022,いり黒豆の炊きこみごはん,清酒,2
38,6/2/2022,いり黒豆の炊きこみごはん,上白糖,1.5
39,6/2/2022,いり黒豆の炊きこみごはん,食塩,0.5
40,6/2/2022,牛乳,牛乳,206
41,6/2/2022,茎わかめのきんぴら,てんぷら,10
42,6/2/2022,茎わかめのきんぴら,（乾）茎わかめ（カット）国産・200g,1.2
43,6/2/2022,茎わかめのきんぴら,たけのこ水煮（ホール）,15
44,6/2/2022,茎わかめのきんぴら,洗いごぼう,10
45,6/2/2022,茎わかめのきんぴら,つきこんにゃく,10
46,6/2/2022,茎わかめのきんぴら,人参,7
47,6/2/2022,茎わかめのきんぴら,ごま油,1
48,6/2/2022,茎わかめのきんぴら,しょうゆ,3
49,6/2/2022,茎わかめのきんぴら,中双糖,1.6
50,6/2/2022,茎わかめのきんぴら,みりん,1
51,6/2/2022,茎わかめのきんぴら,だし汁,5
52,6/2/2022,月菜汁,（冷）根菜入りつくね,20
53,6/2/2022,月菜汁,玉葱,15
54,6/2/2022,月菜汁,小松菜,10
55,6/2/2022,月菜汁,人参,5
56,6/2/2022,月菜汁,中ねぎ,5
57,6/2/2022,月菜汁,うすくちしょうゆ,2
58,6/2/2022,月菜汁,清酒,1
59,6/2/2022,月菜汁,みりん,0.5
60,6/2/2022,月菜汁,削り節　だし用,4
61,6/2/2022,月菜汁,出し昆布,1
62,6/2/2022,月菜汁,水,140
63,6/3/2022,中華どんぶり(麦ごはん),精白米（委託）,70
64,6/3/2022,中華どんぶり(麦ごはん),米粒麦　委託,7
65,6/3/2022,牛乳,牛乳,206
66,6/3/2022,ししゃものから揚げ,（冷）ししゃも,20
67,6/3/2022,ししゃものから揚げ,でんぷん,4
68,6/3/2022,ししゃものから揚げ,食用油,4
69,6/3/2022,もやしのサラダ,もやし,30
70,6/3/2022,もやしのサラダ,チンゲンサイ,15
71,6/3/2022,もやしのサラダ,きゅうり,10
72,6/3/2022,もやしのサラダ,人参,5
73,6/3/2022,もやしのサラダ,棒々鶏ドレッシング,8
74,6/6/2022,黒糖パン,黒糖パン（丸型）,50
75,6/6/2022,黒糖パン,粉黒糖,7.5
76,6/6/2022,牛乳,牛乳,206
77,6/6/2022,豚肉の角煮,豚肉赤身（３㎝角）,30
78,6/6/2022,豚肉の角煮,豚肉並（３㎝角）,20
79,6/6/2022,豚肉の角煮,サラダ油,1
80,6/6/2022,豚肉の角煮,（乾）早煮昆布（カット）,0.8
81,6/6/2022,豚肉の角煮,生姜,0.8
82,6/6/2022,豚肉の角煮,にんにく　,0.3
83,6/6/2022,豚肉の角煮,しょうゆ,2.5
84,6/6/2022,豚肉の角煮,中双糖,2
85,6/6/2022,豚肉の角煮,清酒,2.5
86,6/6/2022,豚肉の角煮,だし汁,15
87,6/6/2022,ゴーヤチャンプルー,ベーコン（短冊）,5
88,6/6/2022,ゴーヤチャンプルー,豆腐,15
89,6/6/2022,ゴーヤチャンプルー,キャベツ,25
90,6/6/2022,ゴーヤチャンプルー,もやし,15
91,6/6/2022,ゴーヤチャンプルー,ゴーヤ,15
92,6/6/2022,ゴーヤチャンプルー,人参,7
93,6/6/2022,ゴーヤチャンプルー,サラダ油,1
94,6/6/2022,ゴーヤチャンプルー,しょうゆ,0.8
95,6/6/2022,ゴーヤチャンプルー,ごま油,0.5
96,6/6/2022,ゴーヤチャンプルー,チキンコンソメ,0.3
97,6/6/2022,ゴーヤチャンプルー,食塩,0.2
98,6/6/2022,ゴーヤチャンプルー,こしょう,0.03
99,6/6/2022,ゴーヤチャンプルー,花かつお　１kg,0.5
100,6/6/2022,わかめのスープ,玉葱,40
101,6/6/2022,わかめのスープ,人参,10
102,6/6/2022,わかめのスープ,しめじ,7
103,6/6/2022,わかめのスープ,中ねぎ,5
104,6/6/2022,わかめのスープ,干しわかめ（カット）,0.8
105,6/6/2022,わかめのスープ,（袋）がらスープ,1.5
106,6/6/2022,わかめのスープ,清酒,1
107,6/6/2022,わかめのスープ,しょうゆ,0.8
108,6/6/2022,わかめのスープ,チキンコンソメ,0.1
109,6/6/2022,わかめのスープ,食塩,0.4
110,6/6/2022,わかめのスープ,削り節　だし用,5
111,6/6/2022,わかめのスープ,湯,140
112,6/7/2022,麦ごはん,精白米（委託）,70
