#LINK,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#lang,ja,,,,,,,,,,,,,,,,,,,,,,,,,,,
#attribution_name,高松市,,,,,,,,,,,,,,,,,,,,,,,,,,,
#license,http://creativecommons.org/licenses/by/3.0/deed.ja,,,,,,,,,,,,,,,,,,,,,,,,,,,
#file_name,0085_用途別土地利用面積,,,,,,,,,,,,,,,,,,,,,,,,,,,
#download_from,https://opendata.smartcity-takamatsu.jp/ckan/dataset/city_planning_basic_survey_information,,,,,,,,,,,,,,,,,,,,,,,,,,,
#property,areaCode,areaNumber,confidential,confidentialInformation,totalArea,cityCode,cityName,townName,chomeName,riceField,field,forest,waterSurface,otherNaturalAreas,residentialLand,commercialLand,industrialLand,forestFisheryFacilitySite,landForPublicFacilities,roadSite,transportationFacilitySite,publicOpenSpace,landForOtherPublicFacilities,golfCourse,photovoltaicSystem,flatParkingLot,otherUses,unknown
#object_type_xsd,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string
#property_context,Assertion,Assertion,Assertion,Assertion,Assertion,Assertion,Assertion,Assertion,Assertion,Assertion,Assertion,Assertion,Assertion,Assertion,Assertion,Assertion,Assertion,Assertion,Assertion,Assertion,Assertion,Assertion,Assertion,Assertion,Assertion,Assertion,Assertion,Assertion
1,372010010,,,,,372013,高松市,塩屋町,,,,,,,19984.74481,3234.555654,2818.976583,,422.6638016,13774.38801,472.4338543,,,,,,,
2,372010020,,,,,372013,高松市,築地町,,,,,10.01440842,,46954.25453,1792.807063,7132.647369,,17033.31085,7490.201914,1485.789592,,,,,,,
3,37201003000,,,,,372013,高松市,塩上町,,,,,,,11464.89013,,,,2302.754948,6288.066217,,,,,,,,
4,37201003001,,,,,372013,高松市,塩上町,１丁目,,,0.73,,,21134.06691,2041.715704,787.529783,,139.002756,3288.613333,5652.108329,,,,,,,
5,37201003002,,,,,372013,高松市,塩上町,２丁目,,,,,,54426.45897,7659.669828,4351.378974,,624.8543272,4874.419298,2887.626712,1194.54846,,,,,,
6,37201003003,,,,,372013,高松市,塩上町,３丁目,,,,1127.224145,,49161.13731,2078.332462,4723.831948,,,7552.680406,,,,,,,,
7,372010040,,,,,372013,高松市,八坂町,,,,,,,5686.914867,814.833959,884.4172695,,,3582.855586,3410.809787,,,,,,,
8,372010050,,,,,372013,高松市,福田町,,,,,,,21384.34408,3552.8349,1396.573057,,90.27624901,4802.111432,,,,,,,,
9,37201006001,,,,,372013,高松市,常磐町,１丁目,,,,,,5144.831413,20161.3983,,,112.148275,4494.299651,8.093897934,,,,,,,
10,37201006002,,,,,372013,高松市,常磐町,２丁目,,,,,,25774.34727,4432.177842,1100.017508,,240.62575,3932.865227,1145.269423,,,,,,,
11,37201007001,,,,,372013,高松市,瓦町,１丁目,,,,,,17422.35226,10280.18668,591.842775,,2321.865298,8863.579067,,,,,,,,
12,37201007002,,,,,372013,高松市,瓦町,２丁目,,,,,,27865.86226,11736.33095,965.3204235,,523.5792065,1714.899984,227.5516542,695.6517935,,,,,,
13,372010080,,,,,372013,高松市,古馬場町,,,,,,,15120.55123,21137.42705,,,62.22899268,1443.497476,,,,,,,,
14,372010090,,,,,372013,高松市,御坊町,,,,,,,7198.356672,7212.221061,,,11384.57496,2048.675934,,847.706575,,,,,,
15,372010100,,,,,372013,高松市,今新町,,,,,,,12477.54458,4376.677616,592.399528,,295.968197,6814.472438,,,,,,,,
16,372010110,,,,,372013,高松市,大工町,,,,,,,14986.57381,3922.334321,254.75455,,548.458524,5528.986746,,,,,,,,
17,372010120,,,,,372013,高松市,百間町,,,,,,,11838.95909,7283.790942,,,887.3798555,4636.166645,,,,,,,,
18,372010130,,,,,372013,高松市,片原町,,,,,,,5559.807168,9017.583357,262.7631695,,2621.152817,6565.063295,339.1919222,,,,,,,
19,372010140,,,,,372013,高松市,鶴屋町,,,,,,,14950.93685,1054.957906,2906.931256,,,3053.333542,1839.456478,,,,,,,
20,372010150,,,,,372013,高松市,本町,,,,370.6878269,,,38127.01376,1122.062992,842.9538875,,146.63355,4429.368759,,,,,,,,
21,372010160,,,,,372013,高松市,北浜町,,,,2019.210758,,,47521.36785,148.280978,6523.751442,,5238.882178,2490.654492,,411.0491345,,,,,,
22,37201017001,,,,,372013,高松市,朝日町,１丁目,,,59.72705908,,322.3625488,24993.16084,,38521.67899,,,68067.39337,,,,,,,,
23,37201017002,,,,,372013,高松市,朝日町,２丁目,,,993.2595608,,7.806359704,70657.26204,22290.76193,10814.91337,,,7934.180048,,,,,,,,
24,37201017003,,,,,372013,高松市,朝日町,３丁目,,,810.4452616,,2334.333204,23080.8965,3595.379525,90624.64444,,,16403.50962,,,,,,,,
25,37201017004,,,,,372013,高松市,朝日町,４丁目,,,,,,74633.1708,24593.83528,240653.3298,,,15808.34842,,,,,,,,
26,37201017005,,,,,372013,高松市,朝日町,５丁目,,,94.98042668,854.4277006,1409.013229,163260.2378,,133233.7888,,677.8030505,26778.76012,,,,,,,,
27,37201017006,,,,,372013,高松市,朝日町,６丁目,,,,,12717.65352,55062.38136,,46288.4839,,,26563.81604,3087.300874,,,,,,,
28,372010180,,,,,372013,高松市,東浜町,,,,,,,8875.579611,201.6659514,931.685702,,325.7445714,1390.301217,,,,,,,,
29,37201019001,,,,,372013,高松市,城東町,１丁目,,,1216.014188,321.1313943,2.0588617,30124.72679,2660.328099,6037.379849,,3598.011032,13112.8494,,418.341047,,,,,,
30,37201019002,,,,,372013,高松市,城東町,２丁目,,,4887.826469,47.56784439,,38980.72961,4043.136904,16914.38954,,4415.129701,7406.463314,,,,,,,,
31,372010200,,,,,372013,高松市,朝日新町,,,,,,,36858.53963,16453.31748,89959.31227,,,60678.48106,,,,,,,,
32,372010210,,,,,372013,高松市,通町,,,,,,,7135.724443,4946.985967,1160.033912,,46.03297237,6299.326376,,,,,,,,
33,372010220,,,,,372013,高松市,井口町,,,,104.5253723,89.06447276,42.40679497,8014.184948,1480.079253,225.3911042,,61.79882215,5996.730175,,,,,,,,
34,372010230,,,,,372013,高松市,末広町,,,,,132.5274928,214.3190049,19698.87993,232.036249,2935.01805,,12260.97153,303.5926045,55.28123697,,,,,,,
35,37201024001,,,,,372013,高松市,福岡町,１丁目,,,213.9701539,5479.729956,937.9888469,57337.14771,24945.20026,11388.48165,,1642.447031,8086.858586,1829.906785,,,,,,,
