#LINK,,
#lang,ja,
#attribution_name,高松市,
#license,http://creativecommons.org/licenses/by/3.0/deed.ja,
#file_name,0087,
#download_from,https://opendata.smartcity-takamatsu.jp/ckan/dataset/list_of_member_Companies,
#property,groupName,applicationDate
#object_type_xsd,string,string
#property_context,Assertion,Assertion
1,高松市,10/19/2017
2,株式会社ＳＴＮｅｔ,10/19/2017
3,株式会社百十四銀行,10/6/2017
4,四国電力株式会社,10/13/2017
5,高松琴平電気鉄道株式会社,10/18/2017
6,国立大学法人香川大学,10/17/2017
7,Code for Sanuki,10/19/2017
8,西日本電信電話株式会社　香川支店,10/10/2017
9,独立行政法人国立高等専門学校機構　香川高等専門学校,10/11/2017
10,株式会社香川銀行,10/11/2017
11,株式会社ミトラ,10/12/2017
12,一般財団法人百十四経済研究所,10/17/2017
13,富士通株式会社　四国支社,10/19/2017
14,日本電気株式会社　四国支社,10/19/2017
15,高松丸亀町商店街振興組合,10/23/2017
16,有限会社電マーク,11/7/2017
17,サイテックアイ株式会社,11/19/2017
18,株式会社セールスフォース・ドットコム,12/20/2017
19,株式会社 ＤｙｎａｘＴ,12/22/2017
20,株式会社四国日立システムズ,1/31/2018
21,株式会社福山コンサルタント,2/5/2018
22,四国ガス株式会社　高松支店,2/7/2018
23,ソフトバンク株式会社,2/22/2018
24,株式会社富士通四国インフォテック,2/22/2018
25,KDDI まとめてオフィス西日本株式会社　四国支社,3/1/2018
26,高松大学,3/29/2018
27,一般社団法人データクレイドル,4/2/2018
28,損害保険ジャパン株式会社　高松支店,4/9/2018
29,株式会社NTTドコモ　四国支社,4/10/2018
30,綜合警備保障株式会社　香川支社,6/11/2018
31,一般社団法人日本自動車連盟　香川支部,6/21/2018
32,出光興産株式会社,7/4/2018
33,ＴＩＳ株式会社,7/10/2018
34,株式会社電脳交通,7/27/2018
35,リコージャパン株式会社　香川支社,8/10/2018
36,高松空港株式会社,8/29/2018
37,株式会社イノベイト,9/11/2018
38,協和テクノロジィズ株式会社,9/27/2018
39,株式会社フソウ,11/12/2018
40,山田電建株式会社,12/7/2018
41,株式会社電信,12/12/2018
42,エフエム高松コミュニティ放送株式会社PlusImage,1/9/2019
43,一般財団法人日本気象協会　四国支店,1/25/2019
44,専門学校穴吹コンピュータカレッジ,1/30/2019
45,有限会社ケノヒ,2/12/2019
46,株式会社協和エクシオ　四国支店,2/19/2019
47,凸版印刷株式会社,2/20/2019
48,特定非営利活動法人ITS Japan,3/5/2019
49,IoT ALGYAN　香川支部,4/8/2019
50,日本工営株式会社　四国支店,4/24/2019
51,NTTコミュニケーションズ株式会社,4/25/2019
52,サンステップ,5/13/2019
53,株式会社日本新電力総合研究所,7/4/2019
54,株式会社三井住友銀行　高松法人営業部,7/9/2019
55,三信電気株式会社　高松支店,7/25/2019
56,ＬＩＮＥ株式会社,8/21/2019
57,三井住友海上火災保険株式会社,9/5/2019
58,アライドテレシス株式会社　四国支社,10/4/2019
59,東京海上日動火災保険株式会社,10/25/2019
60,インテル株式会社,11/5/2019
61,株式会社トラストバンク,12/2/2019
62,株式会社マチマチ,12/13/2019
63,カトーレック株式会社,1/8/2020
64,株式会社ロジック,1/14/2020
65,ARPA WebConsulting,1/22/2020
66,三菱UFJリサーチ&コンサルティング株式会社,2/14/2020
67,富士ソフト株式会社,4/2/2020
68,アイディオ株式会社,4/7/2020
69,株式会社みどり医療経営研究所,4/9/2020
70,株式会社みどりデジタルサポート,4/9/2020
71,あいおいニッセイ同和損害保険株式会社,5/25/2020
72,xID株式会社,5/25/2020
73,合同会社側用人,6/4/2020
74,アクセンチュア株式会社,7/6/2020
75,株式会社エヌ・ティ・ティ・データ四国,7/9/2020
76,株式会社中国四国博報堂　高松支社,7/27/2020
77,三井物産株式会社　四国支社,7/29/2020
78,全日本空輸株式会社,8/3/2020
79,セーラー広告株式会社,8/4/2020
80,四国システム開発株式会社　高松事業所,8/5/2020
81,三電計装株式会社,9/7/2020
82,株式会社電通西日本　高松支社,9/11/2020
83,シティ興産株式会社（高松シティホテル）,9/18/2020
84,穴吹エンタープライズ株式会社,9/23/2020
85,株式会社フソウメンテック,9/23/2020
86,三菱電機株式会社　四国支社,10/1/2020
87,シンボルタワー開発株式会社,10/7/2020
88,株式会社AsKey,10/13/2020
89,株式会社テクノプロ　テクノプロ・IT社　高松支店,10/20/2020
90,ヴイエムウェア株式会社,10/22/2020
91,株式会社穴吹ハウジングサービス,10/30/2020
92,株式会社Dreamly,11/5/2020
93,株式会社AZOO,11/11/2020
94,株式会社JTB　高松支店,11/18/2020
95,高松商運株式会社,11/28/2020
96,株式会社LCNEM,12/3/2020
97,フォーティネットジャパン株式会社,12/8/2020
98,株式会社マルナカ,12/18/2020
99,フェリカポケットマーケティング株式会社,12/28/2020
100,イオンフィナンシャルサービス株式会社,1/18/2021
101,イオンクレジットサービス株式会社,1/20/2021
102,新日本建工株式会社,2/1/2021
103,ＳＯＭＰＯホールディングス株式会社,2/5/2021
104,コスモ石油マーケティング株式会社,2/10/2021
105,一般社団法人キラメキ社会福祉士事務所,2/26/2021
106,アジア航測株式会社　四国支社,2/26/2021
107,株式会社日立製作所四国支社,3/8/2021
108,株式会社四航コンサルタント,3/8/2021
109,株式会社アーク・ジオ・サポート,3/12/2021
110,高松タクシー協会,3/22/2021
111,日本メディカルビジネス株式会社,3/19/2021
112,四国通建株式会社 高松支店,4/1/2021
113,株式会社スマートコントラクト・イニシアティブ,4/23/2021
114,一般社団法人スマートコントラクト推進協会,4/23/2021
115,一般社団法人給与デジタルマネー払いに伴うDX推進機構,4/23/2021
116,株式会社Donuts,4/26/2021
117,株式会社Liquitous,5/12/2021
118,株式会社Geolonia,5/12/2021
119,パシフィックコンサルタンツ株式会社　四国支社,5/21/2021
120,中央コンピューター株式会社　高松事業本部,6/10/2021
121,株式会社i-Link,7/9/2021
122,株式会社Casa,7/29/2021
123,ヤマト運輸株式会社　香川主管支店,9/13/2021
124,八千代エンジニヤリング株式会社 四国統括事務所,9/16/2021
125,株式会社トラベルビジョン,9/24/2021
126,株式会社WeBase,10/13/2021
127,株式会社四電工,12/15/2021
128,株式会社ミヤプロ,2/22/2022
129,株式会社Flight PILOT,3/15/2022
130,株式会社Secual,3/15/2022
131,株式会社ギガプライズ,3/17/2022
132,アマゾンウェブサービスジャパン合同会社,3/29/2022
133,株式会社WE,4/1/2022
134,株式会社Y4.com,4/9/2022
135,GVE株式会社,4/19/2022
136,一般社団法人One Smile Foundation,5/11/2022
137,学生団体koi-koi,5/31/2022
138,株式会社両備システムズ,6/2/2022
139,株式会社マモルケン,6/13/2022
140,NTTインフラネット株式会社　四国事業部　香川支店,6/15/2022
141,株式会社ソトコト・プラネット,6/16/2022
142,SOMPO Light Vortex株式会社,7/19/2022
143,住友生命保険相互会社,8/15/2022
144,NPO法人ブロードバンドスクール協会,9/5/2022
145,有限会社コンティニュー,11/21/2022
