#LINK,,,,,,,
#lang,ja,,,,,,
#attribution_name,高松市,,,,,,
#license,http://creativecommons.org/licenses/by/3.0/deed.ja,,,,,,
#file_name,0091,,,,,,
#download_from,https://opendata.smartcity-takamatsu.jp/ckan/dataset/number_of_births_and_deaths_r2,,,,,,
#property,month,birthTotal,birthMan,birthWoman,deathTotal,deathMan,deathWoman
#object_type_xsd,string,string,string,string,string,string,string
#property_context,Assertion,Assertion,Assertion,Assertion,Assertion,Assertion,Assertion
1,1,247,118,129,540,265,275
2,2,222,117,105,448,206,242
3,3,292,151,141,463,233,230
4,4,192,88,104,379,180,199
5,5,232,115,117,433,213,220
6,6,240,137,103,367,192,175
7,7,235,123,112,354,177,177
8,8,254,126,128,463,233,230
9,9,289,155,134,409,203,206
10,10,261,125,136,427,216,211
11,11,250,119,131,465,246,219
12,12,242,122,120,486,231,255
