#LINK,,,,,,,,,,,,,
#lang,ja,,,,,,,,,,,,
#attribution_name,高松市,,,,,,,,,,,,
#license,http://creativecommons.org/licenses/by/3.0/deed.ja,,,,,,,,,,,,
#file_name,0092,,,,,,,,,,,,
#download_from,https://opendata.smartcity-takamatsu.jp/ckan/dataset/number_of_people_moving_in_and_out_r2,,,,,,,,,,,,
#property,month,withinThePrefOfTransferMan,withinThePrefOfTransfeWoman,OutsideThePrefMan,OutsideThePrefManWoman,MoveInAndOthersMan,MoveInAndOthersWoman,WithinThePrefMan,WithinThePrefWoman,OutOfThePrefMan,OutOfThePreffWoman,MovingOutAndOthersMan,MovingOutAndOthersWoman
#object_type_xsd,string,string,string,string,string,string,string,string,string,string,string,string,string
#property_context,Assertion,Assertion,Assertion,Assertion,Assertion,Assertion,Assertion,Assertion,Assertion,Assertion,Assertion,Assertion,Assertion
1,1,138,137,326,257,8,6,104,87,344,251,37,6
2,2,131,131,374,280,5,7,109,112,405,329,11,9
3,3,282,268,1158,975,33,18,275,270,2049,1621,12,10
4,4,295,249,1314,823,57,33,141,113,580,444,13,5
5,5,86,100,240,179,15,8,76,73,270,192,16,6
6,6,90,109,333,223,20,4,99,72,349,252,9,14
7,7,113,105,390,272,33,6,83,84,366,264,10,6
8,8,108,113,303,257,26,8,77,91,324,244,22,7
9,9,113,112,316,281,12,11,106,86,328,263,10,6
10,10,139,116,331,242,14,10,89,102,316,249,13,14
11,11,114,119,322,273,8,2,77,77,269,198,12,5
12,12,114,104,325,296,10,6,64,78,265,233,17,8
