#LINK,,,,
#lang,ja,,,
#attribution_name,高松市,,,
#license,http://creativecommons.org/licenses/by/3.0/deed.ja,,,
#file_name,0093,,,
#download_from,https://opendata.smartcity-takamatsu.jp/ckan/dataset/children_club_list,,,
#property,schoolDistrict,implementationLocation,clubName,contactAddress
#object_type_xsd,string,string,string,string
#property_context,Assertion,Assertion,Assertion,Assertion
1,新番丁,新番丁小学校,ゆめっこ教室,080-6384-7711、080-9307-4432
2,亀阜,亀阜小学校,かめっこ教室,080-6384-7712、070-2292-7417
3,栗林,栗林小学校,りつりん教室,080-6384-7713、070-2441-7227
4,花園,花園小学校,はなぞの教室,080-6384-7714
5,高松第一,高松第一小学校,スマイル教室,080-6384-7715、070-2292-7418
6,鶴尾,鶴尾小学校,くすの木教室,080-6384-7716
7,太田,太田小学校及び隣接専用施設,さくらんぼ教室,080-6384-7717、080-6237-8609
8,中央,中央小学校,あおぞら教室,080-6384-7718、070-2292-7419
9,木太,木太小学校,きた教室,080-6384-7719
10,木太南,木太南小学校,ひまわり教室,080-6384-7720、070-2325-2102
11,木太北部,木太北部小学校,わんぱく教室,080-6384-7721
12,古高松,古高松小学校,たんぽぽ教室,080-6384-7722
13,古高松南,古高松南小学校,ハリケン教室,080-6384-7723
14,屋島,屋島小学校,やしま教室,080-6384-7724
15,屋島西,屋島西小学校,みどり教室,080-6384-7725
16,川添,川添小学校,ぽぷら教室,080-6384-7726
17,一宮,一宮小学校,みやっ子教室,080-6384-7727
18,円座,円座小学校,しいの木教室,080-6384-7728、080-9307-4431
19,太田南,太田南小学校,おおたみなみっ子教室,080-6384-7729、070-2276-1415
20,弦打,弦打小学校,なのはな教室,080-6384-7730
21,多肥,多肥小学校,わかば教室,080-6384-7731、080-9307-4433、070-2448-0571
22,香西,香西小学校,こうざいっこ教室,080-6384-7732、070-2325-2103
23,檀紙,檀紙小学校,まゆみっ子教室,080-6384-7733
24,十河,十河小学校,キララ教室,080-6384-7734
25,林,林小学校,はやしっこ教室,080-9307-4434、080-6384-7735
26,鬼無,鬼無小学校,きなしっこ教室,080-6384-7736、070-2448-0572
27,三渓,三渓小学校隣接専用施設,みたにっ子教室,080-6384-7737、070-2325-2104
28,屋島東,屋島東小学校,ひがしっこ教室,080-6384-7738
29,庵治,庵治小学校,うみっこ教室,080-6384-7739
30,川岡,川岡小学校,つつじ教室,080-6384-7740
31,下笠居,下笠居小学校,やまびこ教室,080-6384-7741
32,植田,植田小学校,どんぐりっ子教室,080-6384-7742
33,仏生山,仏生山小学校,もまいっ子教室,080-6384-7743
34,浅野,浅野小学校,あさのっこ教室,080-6384-7744
35,大野,大野小学校,大野児童クラブ,070-2282-8264
36,国分寺北部,国分寺北部小学校,にじいろクラブ,070-2282-8265
37,国分寺南部,国分寺南部小学校隣接専用施設,わくわくクラブ,070-2282-8266
38,川島,川島小学校,あおぞら,090-9259-6459
39,牟礼,牟礼小学校,なかよしクラブ,080-5781-8867
40,牟礼北,牟礼北小学校,にこにこクラブ,070-2292-7420、070-2282-8267
41,牟礼南,牟礼南小学校,みなみクラブ,080-5781-8868
42,前田,前田小学校,あすなろ教室,080-9308-8043
43,東植田,東植田小学校,さくら教室,070-2283-2830
44,塩江,塩江小学校,しおっ子教室,070-2283-2831
45,香南,ししまる館,ししまるっ子元気クラブ,070-2291-8436
46,川東,"川東児童館
（令和4年度からは川東小学校）",川東児童クラブ,"087-879-6638
※令和4年3月末までの番号です。"
